"table_id","area","expected_value","expected_present","notes"
"aei_hri","time","2011","true","Observed in source time columns."
"aei_hri","time","2017","true","Observed in source time columns."
"aei_hri","time","2022","true","Observed in source time columns."
"aei_hri","string","Annual","true","Obvious non-geographic metadata header or value in source table."
"aei_hri","string","Group 1 - low-risk active substances","true","Obvious non-geographic metadata header or value in source table."
"aei_hri","string","Index, 2011-2013 average =100","true","Obvious non-geographic metadata header or value in source table."
"aei_hri","geography","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","true","Observed in source geography/reporting column."
"aei_hri","geography","European Union - 27 countries (from 2020)","true","Observed in source geography/reporting column."
"aei_hri","title","Harmonised risk indicator 1 for pesticides by categorisation of active substances","true","Cleaned title/title term after removing explicit time/geography where applicable."
"aei_pestsal_rsk","time","2011","true","Observed in source time columns."
"aei_pestsal_rsk","time","2016","true","Observed in source time columns."
"aei_pestsal_rsk","time","2021","true","Observed in source time columns."
"aei_pestsal_rsk","string","Annual","true","Obvious non-geographic metadata header or value in source table."
"aei_pestsal_rsk","string","Categories B, D, E and F - chemical active substances","true","Obvious non-geographic metadata header or value in source table."
"aei_pestsal_rsk","string","Kilogram","true","Obvious non-geographic metadata header or value in source table."
"aei_pestsal_rsk","geography","Austria","true","Observed in source geography/reporting column."
"aei_pestsal_rsk","geography","Belgium","true","Observed in source geography/reporting column."
"aei_pestsal_rsk","title","Pesticide sales by categorisation of active substances","true","Cleaned title/title term after removing explicit time/geography where applicable."
"apri_lprc_h","time","1985","true","Observed in source time columns."
"apri_lprc_h","time","1997","true","Observed in source time columns."
"apri_lprc_h","time","2009","true","Observed in source time columns."
"apri_lprc_h","time","until 2009","true","Observed in source title."
"apri_lprc_h","string","Annual","true","Obvious non-geographic metadata header or value in source table."
"apri_lprc_h","string","Euro per hectare","true","Obvious non-geographic metadata header or value in source table."
"apri_lprc_h","string","Arable land","true","Obvious non-geographic metadata header or value in source table."
"apri_lprc_h","geography","Belgium","true","Observed in source geography/reporting column."
"apri_lprc_h","geography","Bulgaria","true","Observed in source geography/reporting column."
"apri_lprc_h","title","Agricultural land prices by region - historical data","true","Cleaned title/title term after removing explicit time/geography where applicable."
"apri_lrnt_h","time","1985","true","Observed in source time columns."
"apri_lrnt_h","time","1997","true","Observed in source time columns."
"apri_lrnt_h","time","2009","true","Observed in source time columns."
"apri_lrnt_h","time","until 2009","true","Observed in source title."
"apri_lrnt_h","string","Annual","true","Obvious non-geographic metadata header or value in source table."
"apri_lrnt_h","string","Euro per hectare","true","Obvious non-geographic metadata header or value in source table."
"apri_lrnt_h","string","Arable land","true","Obvious non-geographic metadata header or value in source table."
"apri_lrnt_h","geography","Austria","true","Observed in source geography/reporting column."
"apri_lrnt_h","geography","Belgium","true","Observed in source geography/reporting column."
"apri_lrnt_h","title","Agricultural land renting prices for one year by region - historical data","true","Cleaned title/title term after removing explicit time/geography where applicable."
"apri_pi95_vwia","time","1995","true","Observed in source time columns."
"apri_pi95_vwia","string","Annual","true","Obvious non-geographic metadata header or value in source table."
"apri_pi95_vwia","string","Euro","true","Obvious non-geographic metadata header or value in source table."
"apri_pi95_vwia","string","ind_inpu","true","Obvious non-geographic metadata header or value in source table."
"apri_pi95_vwia","geography","AT","true","Observed in source geography/reporting column."
"apri_pi95_vwia","geography","BE","true","Observed in source geography/reporting column."
"apri_pi95_vwia","title","Weights of purchase prices of the means of agricultural production - survey","true","Cleaned title/title term after removing explicit time/geography where applicable."
"apri_pi95_vwpa","time","1995","true","Observed in source time columns."
"apri_pi95_vwpa","string","Annual","true","Obvious non-geographic metadata header or value in source table."
"apri_pi95_vwpa","string","Euro","true","Obvious non-geographic metadata header or value in source table."
"apri_pi95_vwpa","string","ind_outp","true","Obvious non-geographic metadata header or value in source table."
"apri_pi95_vwpa","geography","AT","true","Observed in source geography/reporting column."
"apri_pi95_vwpa","geography","BE","true","Observed in source geography/reporting column."
"apri_pi95_vwpa","title","Weights of producer prices of agricultural products - survey","true","Cleaned title/title term after removing explicit time/geography where applicable."
"apro_ec_egghen","time","2013","true","Observed in source time columns."
"apro_ec_egghen","time","2018","true","Observed in source time columns."
"apro_ec_egghen","time","2023","true","Observed in source time columns."
"apro_ec_egghen","time","2013-2024","true","Observed in source title."
"apro_ec_egghen","string","Annual","true","Obvious non-geographic metadata header or value in source table."
"apro_ec_egghen","string","Other operators receiving eggs from agricultural producers","true","Obvious non-geographic metadata header or value in source table."
"apro_ec_egghen","string","Eggs for consumption","true","Obvious non-geographic metadata header or value in source table."
"apro_ec_egghen","string","Million","true","Obvious non-geographic metadata header or value in source table."
"apro_ec_egghen","geography","Denmark","true","Observed in source geography/reporting column."
"apro_ec_egghen","geography","Finland","true","Observed in source geography/reporting column."
"apro_ec_egghen","geography","Total","false","Suspicious false positive: aggregate/value label, not a geography term in this table."
"apro_ec_egghen","title","Production of eggs for consumption and number of laying hens","true","Cleaned title/title term after removing explicit time/geography where applicable."
"apro_ec_lshen","time","1960","true","Observed in source time columns."
"apro_ec_lshen","time","1986","true","Observed in source time columns."
"apro_ec_lshen","time","2012","true","Observed in source time columns."
"apro_ec_lshen","time","1960-2012","true","Observed in source title."
"apro_ec_lshen","string","Annual","true","Obvious non-geographic metadata header or value in source table."
"apro_ec_lshen","string","Laying hens","true","Obvious non-geographic metadata header or value in source table."
"apro_ec_lshen","string","Thousand heads (animals)","true","Obvious non-geographic metadata header or value in source table."
"apro_ec_lshen","geography","Austria","true","Observed in source geography/reporting column."
"apro_ec_lshen","geography","Belgium","true","Observed in source geography/reporting column."
"apro_ec_lshen","title","Laying hens population - annual data","true","Cleaned title/title term after removing explicit time/geography where applicable."
"apro_mk_fatprot","time","1960","true","Observed in source time columns."
