term_id,canonical_term,matching_key,split,stratum,table_count,occurrence_count,role_summary_json,feature_summary_json,category,annotator_id,notes
term_01417cb2fcbe5a3b3a29,Financial account,financial account,train_dev,metadata_value+title_clause|occ_21_plus|tables_2_5|title|no_header|value|conflict,4,145,"{""metadata_value"": 144, ""title_clause"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": true, ""metadata_columns"": [""Balance of payments item""], ""occurrence_count"": 145, ""table_count"": 4}",other_ambiguous,codex_rule_assisted_primary,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Primary milestone 9 audit label."
term_01c111f85b9dd16e6892,Operator/Trader,operator/trader,train_dev,header_name|occ_1|tables_1|no_title|header|no_value|single_role,1,1,"{""header_name"": 1}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""Operator/Trader""], ""occurrence_count"": 1, ""table_count"": 1}",dimension_name,codex_rule_assisted_primary,Rule-assisted audit: header/source evidence names a table dimension. Primary milestone 9 audit label.
term_029896d44720469d829f,Type of household,type of household,train_dev,header_name|occ_21_plus|tables_21_plus|no_title|header|no_value|single_role,27,27,"{""header_name"": 27}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""Type of household""], ""occurrence_count"": 27, ""table_count"": 27}",dimension_name,codex_rule_assisted_primary,Rule-assisted audit: header/source evidence names a table dimension. Primary milestone 9 audit label.
term_0302ddbe8acf06286bd8,Live animals,live animals,train_dev,header_name|occ_6_20|tables_6_20|no_title|header|no_value|single_role,10,10,"{""header_name"": 10}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""Live animals""], ""occurrence_count"": 10, ""table_count"": 10}",dimension_name,codex_rule_assisted_primary,Rule-assisted audit: header/source evidence names a table dimension. Primary milestone 9 audit label.
term_033cc052e18e295b08d0,Banova Jaruga - Kutina,banova jaruga - kutina,train_dev,metadata_value|occ_2_5|tables_2_5|no_title|no_header|value|single_role,2,4,"{""metadata_value"": 4}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Rail network Segment (2015)"", ""Rail network segment (2020)""], ""occurrence_count"": 4, ""table_count"": 2}",other_ambiguous,codex_rule_assisted_primary,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Primary milestone 9 audit label."
term_0380a083b0f026f078f0,transport,transport,train_dev,metadata_value+title_clause|occ_21_plus|tables_2_5|title|no_header|value|conflict,2,136,"{""metadata_value"": 135, ""title_clause"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": true, ""metadata_columns"": [""Classification of individual consumption by purpose (COICOP)"", ""Type of task or service""], ""occurrence_count"": 136, ""table_count"": 2}",other_ambiguous,codex_rule_assisted_primary,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Primary milestone 9 audit label."
term_03961d630e0cb0a573b4,Stock of vehicles by category,stock of vehicles by category,train_dev,title_clause|occ_1|tables_1|title|no_header|no_value|single_role,1,1,"{""title_clause"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 1, ""table_count"": 1}",measure,codex_rule_assisted_primary,Rule-assisted audit: title/source evidence names a measured statistical phenomenon. Primary milestone 9 audit label.
term_03c271f635184970c4c9,Assets - positions at the end of period,assets - positions at the end of period,train_dev,metadata_value|occ_21_plus|tables_2_5|no_title|no_header|value|single_role,4,108,"{""metadata_value"": 108}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Stock or flow""], ""occurrence_count"": 108, ""table_count"": 4}",other_ambiguous,codex_rule_assisted_primary,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Primary milestone 9 audit label."
term_03ced32e1105b8e7f8ef,Municipal waste,municipal waste,train_dev,metadata_value+title_full|occ_6_20|tables_2_5|title|no_header|value|conflict,2,9,"{""metadata_value"": 8, ""title_full"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": true, ""metadata_columns"": [""Statistical classification of economic activities in the European Community (NACE Rev. 2)""], ""occurrence_count"": 9, ""table_count"": 2}",other_ambiguous,codex_rule_assisted_primary,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Primary milestone 9 audit label."
term_0574143d02a2d4d9f97c,From 0 to 17 years,from 0 to 17 years,train_dev,metadata_value|occ_21_plus|tables_2_5|no_title|no_header|value|single_role,2,57,"{""metadata_value"": 57}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Age class""], ""occurrence_count"": 57, ""table_count"": 2}",dimension_value,codex_rule_assisted_primary,Rule-assisted audit: metadata-value/source evidence is a member of a dimension. Primary milestone 9 audit label.
