term_id,canonical_term,matching_key,split,stratum,table_count,occurrence_count,role_summary_json,feature_summary_json,category,annotator_id,notes
term_0574143d02a2d4d9f97c,From 0 to 17 years,from 0 to 17 years,train_dev,metadata_value|occ_21_plus|tables_2_5|no_title|no_header|value|single_role,2,57,"{""metadata_value"": 57}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Age class""], ""occurrence_count"": 57, ""table_count"": 2}",dimension_value,codex_rule_assisted_relabel,Rule-assisted audit: metadata-value/source evidence is a member of a dimension. Blind duplicate milestone 9 audit label.
term_096308c54aae53b0cd02,Modalities of the variable for the ad-hoc module,modalities of the variable for the ad-hoc module,train_dev,header_name|occ_2_5|tables_2_5|no_title|header|no_value|single_role,5,5,"{""header_name"": 5}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""Modalities of the variable for the ad-hoc module""], ""occurrence_count"": 5, ""table_count"": 5}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
term_0d36ab73dc5296625dc8,Sex,sex,train_dev,header_name|occ_21_plus|tables_21_plus|no_title|header|no_value|single_role,420,420,"{""header_name"": 420}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""Sex"", ""sex""], ""occurrence_count"": 420, ""table_count"": 420}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
term_1831cd34b47fd80d892a,Área Metropolitana de Lisboa (NUTS 2021),área metropolitana de lisboa (nuts 2021),train_dev,metadata_value|occ_21_plus|tables_21_plus|no_title|no_header|value|single_role,26,26,"{""metadata_value"": 26}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Geopolitical entity (reporting)\\Time""], ""occurrence_count"": 26, ""table_count"": 26}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_19aff867b2805e800b81,National accounts indicator (ESA 2010),national accounts indicator (esa 2010),train_dev,header_name|occ_21_plus|tables_21_plus|no_title|header|no_value|single_role,119,119,"{""header_name"": 119}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""National accounts indicator (ESA 2010)""], ""occurrence_count"": 119, ""table_count"": 119}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
term_1d20fa043b286c13ecee,Hausfeldstra?E - Marchegg,hausfeldstra?e - marchegg,train_dev,metadata_value|occ_2_5|tables_1|no_title|no_header|value|single_role,1,2,"{""metadata_value"": 2}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Rail network segment (2005)""], ""occurrence_count"": 2, ""table_count"": 1}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_1d36fabdc211d3d3ebf1,Housing cost overburden rate by household type,housing cost overburden rate by household type,train_dev,title_clause|occ_1|tables_1|title|no_header|no_value|single_role,1,1,"{""title_clause"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 1, ""table_count"": 1}",measure,codex_rule_assisted_relabel,Rule-assisted audit: title/source evidence names a measured statistical phenomenon. Blind duplicate milestone 9 audit label.
term_1f1791739b202bfbfa21,quarterly data,quarterly data,train_dev,title_clause|occ_6_20|tables_6_20|title|no_header|no_value|single_role,11,11,"{""title_clause"": 11}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 11, ""table_count"": 11}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_2097336e8dbd0c8ed404,Ammonia emissions from agriculture,ammonia emissions from agriculture,train_dev,title_clause+title_full|occ_2_5|tables_2_5|title|no_header|no_value|conflict,2,2,"{""title_clause"": 1, ""title_full"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 2, ""table_count"": 2}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_21415cb11e781cdfeb3d,Real GDP per capita,real gdp per capita,train_dev,title_full|occ_2_5|tables_2_5|title|no_header|no_value|single_role,2,2,"{""title_full"": 2}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 2, ""table_count"": 2}",measure,codex_rule_assisted_relabel,Rule-assisted audit: title/source evidence names a measured statistical phenomenon. Blind duplicate milestone 9 audit label.
term_22edd06adfb5c9bd10d3,Nature of the trademark,nature of the trademark,train_dev,header_name|occ_1|tables_1|no_title|header|no_value|single_role,1,1,"{""header_name"": 1}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""Nature of the trademark""], ""occurrence_count"": 1, ""table_count"": 1}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
