term_id,canonical_term,matching_key,split,stratum,table_count,occurrence_count,role_summary_json,feature_summary_json,category,annotator_id,notes,audit_source,target_cohort
term_02ccff8f061bffdc5213,Disability pension,disability pension,train_dev,metadata_value|occ_21_plus|tables_1|no_title|no_header|value|single_role,1,39,"{""metadata_value"": 39}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Pension type""], ""occurrence_count"": 39, ""table_count"": 1}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
term_04826352f0029259220a,Towns and suburbs,towns and suburbs,train_dev,metadata_value|occ_21_plus|tables_21_plus|no_title|no_header|value|single_role,27,1287,"{""metadata_value"": 1287}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Degree of urbanisation""], ""occurrence_count"": 1287, ""table_count"": 27}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
term_05c00bb441c45ee93eae,Kilometre,kilometre,train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,18,1157,"{""metadata_value"": 1157}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Unit of measure""], ""occurrence_count"": 1157, ""table_count"": 18}",unit,codex_domain_inferred_primary,"Domain-inferred audit: source evidence identifies a measurement unit, scale, rate, or unit code. Primary targeted reclaim label.",targeted_reclaim,frequent_value_metadata_value
term_0601086320d92cc7f1b9,Non-consolidated,non-consolidated,train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,11,800,"{""metadata_value"": 800}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Consolidated/Non consolidated""], ""occurrence_count"": 800, ""table_count"": 11}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
term_078c3df677149c70ea02,Yes,yes,train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,9,1388,"{""metadata_value"": 1388}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Modalities of the variable for the ad-hoc module"", ""Survey answer - Yes/No""], ""occurrence_count"": 1388, ""table_count"": 9}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
term_0891511730f3692e7eee,Villach Sud Gvbf Auen - Villach Westbf,villach sud gvbf auen - villach westbf,train_dev,metadata_value|occ_2_5|tables_1|no_title|no_header|value|single_role,1,2,"{""metadata_value"": 2}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Rail network segment (2005)""], ""occurrence_count"": 2, ""table_count"": 1}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
term_146a0c869ca1633a68f6,Net turnover,net turnover,train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,9,1019,"{""metadata_value"": 1019}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Business trend indicator""], ""occurrence_count"": 1019, ""table_count"": 9}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
term_16d38da89b047b8258cc,Prevalje - Dravograd,prevalje - dravograd,train_dev,metadata_value|occ_6_20|tables_2_5|no_title|no_header|value|single_role,4,8,"{""metadata_value"": 8}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Rail network Segment (2015)"", ""Rail network segment (2005)"", ""Rail network segment (2010)"", ""Rail network segment (2020)""], ""occurrence_count"": 8, ""table_count"": 4}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
term_1bb99f4bdd0d80773482,Rural areas,rural areas,train_dev,metadata_value|occ_21_plus|tables_21_plus|no_title|no_header|value|single_role,30,1366,"{""metadata_value"": 1366}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Degree of urbanisation""], ""occurrence_count"": 1366, ""table_count"": 30}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
term_1f5650a8bdbd30782044,Ramal De Alfarelos(Bifurcação De Lares->Alfarelos),ramal de alfarelos(bifurcação de lares->alfarelos),train_dev,metadata_value|occ_2_5|tables_1|no_title|no_header|value|single_role,1,3,"{""metadata_value"": 3}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Rail network segment (2010)""], ""occurrence_count"": 3, ""table_count"": 1}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
term_253ee7f6fe3e3383918c,Full-time,full-time,train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,12,1639,"{""metadata_value"": 1639}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Working time""], ""occurrence_count"": 1639, ""table_count"": 12}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
term_2a855b05c201af7e71a6,Consolidated,consolidated,train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,14,999,"{""metadata_value"": 999}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Consolidated/Non consolidated""], ""occurrence_count"": 999, ""table_count"": 14}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
term_2ab29f48215f9dc160ef,Lianokladion - Stylida,lianokladion - stylida,train_dev,metadata_value|occ_2_5|tables_1|no_title|no_header|value|single_role,1,2,"{""metadata_value"": 2}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Rail network segment (2005)""], ""occurrence_count"": 2, ""table_count"": 1}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
term_2dcdde5974034c6103aa,Goods trains,goods trains,train_dev,metadata_value|occ_21_plus|tables_21_plus|no_title|no_header|value|single_role,78,6675,"{""metadata_value"": 6675}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Train category"", ""Train category\\Time""], ""occurrence_count"": 6675, ""table_count"": 78}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
term_2e96b6ac4cca034e008f,Villach Süd Gvbf Auen - Rosenbach,villach süd gvbf auen - rosenbach,train_dev,metadata_value|occ_2_5|tables_1|no_title|no_header|value|single_role,1,3,"{""metadata_value"": 3}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Rail network segment (2010)""], ""occurrence_count"": 3, ""table_count"": 1}",dimension_value,codex_domain_inferred_primary,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Primary targeted reclaim label.,targeted_reclaim,frequent_value_metadata_value
