term_id,canonical_term,matching_key,split,stratum,table_count,occurrence_count,role_summary_json,feature_summary_json,category,annotator_id,notes,audit_source,target_cohort
term_054d87aef01de33fc7dc,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),at risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),final_test,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,19,1737,"{""metadata_value"": 1737}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Income and living conditions indicator""], ""occurrence_count"": 1737, ""table_count"": 19}",dimension_value,codex_domain_inferred_relabel,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Independent targeted reclaim relabel.,targeted_reclaim,unit_range_digit_metadata_value
term_0b8b296439cb337c826f,Air emissions per sector and per gas,air emissions per sector and per gas,train_dev,title_full|occ_1|tables_1|title|no_header|no_value|single_role,1,1,"{""title_full"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 1, ""table_count"": 1}",measure,codex_domain_inferred_relabel,Domain-inferred audit: title evidence names a measured statistical phenomenon. Independent targeted reclaim relabel.,targeted_reclaim,title_full
term_13743f023228c6e1ceb6,Hours spent in CVT courses by size class,hours spent in cvt courses by size class,train_dev,title_clause|occ_2_5|tables_2_5|title|no_header|no_value|single_role,5,5,"{""title_clause"": 5}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 5, ""table_count"": 5}",measure,codex_domain_inferred_relabel,Domain-inferred audit: title evidence names a measured statistical phenomenon. Independent targeted reclaim relabel.,targeted_reclaim,title_clause
term_1913b5df9a67325b0909,Rail freight traffic - ENP-South countries,rail freight traffic - enp-south countries,train_dev,title_full|occ_1|tables_1|title|no_header|no_value|single_role,1,1,"{""title_full"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 1, ""table_count"": 1}",measure,codex_domain_inferred_relabel,Domain-inferred audit: title evidence names a measured statistical phenomenon. Independent targeted reclaim relabel.,targeted_reclaim,title_full
term_1d08e310f48985da1a0d,"food, drinks and tobacco","food, drinks and tobacco",train_dev,metadata_value+title_clause|occ_21_plus|tables_2_5|title|no_header|value|conflict,4,24,"{""metadata_value"": 22, ""title_clause"": 2}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": true, ""metadata_columns"": [""Standard International Trade Classification (SITC Rev. 4, 2006)""], ""occurrence_count"": 24, ""table_count"": 4}",other_ambiguous,codex_domain_inferred_relabel,Domain-inferred audit: conflicting or fragmentary source evidence is unsafe to assign. Independent targeted reclaim relabel.,targeted_reclaim,short_code_conflict_noise
term_42b74c6656b1bc288aaf,Area (cultivation/harvested/production) (1000 ha),area (cultivation/harvested/production) (1000 ha),final_test,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,12,1010,"{""metadata_value"": 1010}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Structure of production""], ""occurrence_count"": 1010, ""table_count"": 12}",dimension_value,codex_domain_inferred_relabel,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Independent targeted reclaim relabel.,targeted_reclaim,unit_range_digit_metadata_value
term_52ae6790dabeb9085420,J6512,j6512,train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,8,668,"{""metadata_value"": 668}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""nace_r1""], ""occurrence_count"": 668, ""table_count"": 8}",dimension_value,codex_domain_inferred_relabel,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Independent targeted reclaim relabel.,targeted_reclaim,short_code_conflict_noise
term_58b596de2b812725ce6e,No,no,train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,10,1392,"{""metadata_value"": 1392}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Modalities of the variable for the ad-hoc module"", ""Survey answer - Yes/No"", ""partner""], ""occurrence_count"": 1392, ""table_count"": 10}",dimension_value,codex_domain_inferred_relabel,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Independent targeted reclaim relabel.,targeted_reclaim,frequent_value_metadata_value
term_5f829060c22d86f7d6b2,"Stock of general government debt security liabilities issued as 'green bonds' - one-off data collection, experimental statistics","stock of general government debt security liabilities issued as 'green bonds' - one-off data collection, experimental statistics",validation,title_full|occ_1|tables_1|title|no_header|no_value|single_role,1,1,"{""title_full"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 1, ""table_count"": 1}",measure,codex_domain_inferred_relabel,Domain-inferred audit: title evidence names a measured statistical phenomenon. Independent targeted reclaim relabel.,targeted_reclaim,title_full
term_70d1802848d22a2bf736,Real estate; other service activities,real estate; other service activities,train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,7,240,"{""metadata_value"": 240}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Statistical classification of economic activities in the European Community (NACE Rev. 1.1)""], ""occurrence_count"": 240, ""table_count"": 7}",dimension_value,codex_domain_inferred_relabel,Domain-inferred audit: metadata or domain evidence identifies a member of a dimension. Independent targeted reclaim relabel.,targeted_reclaim,frequent_value_metadata_value
