term_id,canonical_term,matching_key,split,stratum,table_count,occurrence_count,role_summary_json,feature_summary_json,category,annotator_id,notes,audit_source,target_cohort
term_02e057ea25251b0994d8,Ramal De Braga(Nine->Braga),ramal de braga(nine->braga),train_dev,metadata_value|occ_2_5|tables_1|no_title|no_header|value|single_role,1,3,"{""metadata_value"": 3}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Rail network segment (2010)""], ""occurrence_count"": 3, ""table_count"": 1}",,,,targeted_reclaim,frequent_value_metadata_value
term_0300915cd59927f90c9b,Non-financial corporations,non-financial corporations,train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,19,571,"{""metadata_value"": 571}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Sector""], ""occurrence_count"": 571, ""table_count"": 19}",,,,targeted_reclaim,frequent_value_metadata_value
term_068efbebf10937c2761c,Participation time (hh:mm),participation time (hh:mm),train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,8,418,"{""metadata_value"": 418}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Unit of measure""], ""occurrence_count"": 418, ""table_count"": 8}",,,,targeted_reclaim,frequent_value_metadata_value
term_0953e5a9bc734363992d,Passengers embarked and disembarked,passengers embarked and disembarked,train_dev,metadata_value|occ_21_plus|tables_1|no_title|no_header|value|single_role,1,136,"{""metadata_value"": 136}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Traffic and transport measurement""], ""occurrence_count"": 136, ""table_count"": 1}",,,,targeted_reclaim,frequent_value_metadata_value
term_0e14a3e8f7879a001a3c,Once (one time),once (one time),train_dev,metadata_value|occ_21_plus|tables_2_5|no_title|no_header|value|single_role,4,480,"{""metadata_value"": 480}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Frequency""], ""occurrence_count"": 480, ""table_count"": 4}",,,,targeted_reclaim,frequent_value_metadata_value
term_0f1bb787b09d5cb6c524,"Capital transfers, revenue","capital transfers, revenue",train_dev,metadata_value|occ_1|tables_1|no_title|no_header|value|single_role,1,1,"{""metadata_value"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""National accounts indicator (ESA 2010)""], ""occurrence_count"": 1, ""table_count"": 1}",,,,targeted_reclaim,frequent_value_metadata_value
term_10aade78aac7f6ffd519,Other reason,other reason,train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,12,533,"{""metadata_value"": 533}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Reason""], ""occurrence_count"": 533, ""table_count"": 12}",,,,targeted_reclaim,frequent_value_metadata_value
term_14da3a36ded74ba1d418,"Water supply; sewerage, waste management and remediation activities","water supply; sewerage, waste management and remediation activities",train_dev,metadata_value|occ_2_5|tables_2_5|no_title|no_header|value|single_role,2,4,"{""metadata_value"": 4}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Statistical classification of economic activities in the European Community (NACE Rev. 2)""], ""occurrence_count"": 4, ""table_count"": 2}",,,,targeted_reclaim,frequent_value_metadata_value
term_18541444439afa6bb566,Composting,composting,train_dev,metadata_value|occ_2_5|tables_1|no_title|no_header|value|single_role,1,5,"{""metadata_value"": 5}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Waste management operations""], ""occurrence_count"": 5, ""table_count"": 1}",,,,targeted_reclaim,frequent_value_metadata_value
term_1ba83248f7fe55e64891,Credit,credit,train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,9,491,"{""metadata_value"": 491}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Stock or flow""], ""occurrence_count"": 491, ""table_count"": 9}",,,,targeted_reclaim,frequent_value_metadata_value
