table_id,area,expected_value,expected_present,notes
aei_hri,,,true,
aei_pestsal_rsk,,,true,
apri_lprc_h,,,true,
apri_lrnt_h,,,true,
apri_pi95_vwia,,,true,
apri_pi95_vwpa,,,true,
apro_ec_egghen,,,true,
apro_ec_lshen,,,true,
apro_mk_fatprot,,,true,
apro_mt_lsequi,,,true,
apro_mt_ppighq,,,true,
avia_ec_emp_arp,,,true,
avia_ec_emp_ent,,,true,
avia_ec_enterp,,,true,
avia_eq_arc_age,,,true,
avia_eq_arc_agereg,,,true,
avia_if_arp,,,true,
avia_tpgo,,,true,
avia_tppa,,,true,
bop_its_str,,,true,
bs_bs10_00,,,true,
bs_bs11_00,,,true,
bs_bs13_04,,,true,
bs_bs14_04,,,true,
bs_bs16_04,,,true,
bs_bs1_00,,,true,
bs_bs2_00,,,true,
bs_bs4_06,,,true,
bs_bs5_00,,,true,
bs_bs5_04,,,true,
bs_bs6_00,,,true,
bs_bs6_04,,,true,
bs_bs7_00,,,true,
bs_bs7_04,,,true,
bs_bs8_00,,,true,
bs_bs9_00,,,true,
cei_cie011,,,true,
cei_cie012,,,true,
cei_cie020,,,true,
cei_gsr011,,,true,
cei_gsr020,,,true,
cei_gsr030,,,true,
cei_pc020,,,true,
cei_pc030,,,true,
cei_pc031,,,true,
cei_pc032,,,true,
cei_pc034,,,true,
cei_pc035,,,true,
cei_pc040,,,true,
cei_pc050,,,true,
