term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_f92aa0607c2b5c538059,1 activity and employment,measure,0.88,semantic-hybrid,True,title evidence with measure lexical cue,"[""occ_804766179f4830648dba""]",run_1f27e7f7434a9d682f85
term_ae1f4ef44ee128d00b40,1 activity and employment status,measure,0.88,semantic-hybrid,True,title evidence with measure lexical cue,"[""occ_02097b67cef22603687a""]",run_1f27e7f7434a9d682f85
term_290bbaa73df30999a339,1.1 activity and employment,measure,0.88,semantic-hybrid,True,title evidence with measure lexical cue,"[""occ_de22f700e2ab735469c2""]",run_1f27e7f7434a9d682f85
term_0e86b7dc373a37bc4ce4,1.1 activity and employment status,measure,0.88,semantic-hybrid,True,title evidence with measure lexical cue,"[""occ_fab0e7d18fb45a53578f""]",run_1f27e7f7434a9d682f85
term_eb6cd7da4972ac3d2937,1000 of corresponding age population,measure,0.88,semantic-hybrid,True,title evidence with measure lexical cue,"[""occ_9bafdf4be2aa5389716d""]",run_1f27e7f7434a9d682f85
term_d642b0d05751e9980989,15-24) neither in employment,measure,0.88,semantic-hybrid,True,title evidence with measure lexical cue,"[""occ_8cefd7b09448e6d469b4""]",run_1f27e7f7434a9d682f85
term_b5d9f16b16f448136985,2 region - % of the population,measure,0.88,semantic-hybrid,True,title evidence with measure lexical cue,"[""occ_37427f4a3defbeb46cf9"", ""occ_8a3d689b78962f6a44cd""]",run_1f27e7f7434a9d682f85
term_1d8de4686876a5ad8cdd,2 region - % of the population of,measure,0.88,semantic-hybrid,True,title evidence with measure lexical cue,"[""occ_51d09b2af9078c8af17a"", ""occ_8dc49a63ccc9fde82a95""]",run_1f27e7f7434a9d682f85
term_60c705d91a6a7e292a1f,2 region - % of the population of the,measure,0.88,semantic-hybrid,True,title evidence with measure lexical cue,"[""occ_c18126792cbf6ba64b6f"", ""occ_f98f838730c9ce49dd5a""]",run_1f27e7f7434a9d682f85
term_1ec4e9a4cce0e2bd4b55,2 region - % of the population of the corresponding,measure,0.88,semantic-hybrid,True,title evidence with measure lexical cue,"[""occ_3762a649aafed41b845c"", ""occ_e88be6135e2f0d610a34""]",run_1f27e7f7434a9d682f85
