term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_20d6b4a1cc5307075745,Accidents in waterway transport,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_5f8eb80b7e42c67847f1""]",run_5f8127cf8e6be829b1ac
term_2c16cafab319d30eed0d,Accidents involving the transport of dangerous goods,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_84ff46631dc99865b39e""]",run_5f8127cf8e6be829b1ac
term_0f8f9cf7bf3053d8d92c,Accidents involving the transport of dangerous goods - annual data,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_c24aa35c783b7a70c4e9""]",run_5f8127cf8e6be829b1ac
term_28537334be6786e5aad6,Adjusted gross disposable income of households per capita in PPS,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_6881f8db1e6783273eaa""]",run_5f8127cf8e6be829b1ac
term_a8771db3c5fdeaea7553,Aggregate propensity to consume by income quintile,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_616aa8c25c99e165c992""]",run_5f8127cf8e6be829b1ac
term_dd253336ca9a867f3b27,Aggregate propensity to consume by income quintile - experimental statistics,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_a4e221b90422d82503e1""]",run_5f8127cf8e6be829b1ac
term_d159d1d70a676d86fe50,Agricultural holdings by age of holder,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_726d8889cfebd40daa92""]",run_5f8127cf8e6be829b1ac
term_0d7a0d04c0ce32966ea7,Agricultural holdings by agricultural area,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_c38b2bc7b944ae703531""]",run_5f8127cf8e6be829b1ac
term_f2c0c07a0e4bc0b204b8,Agricultural holdings by economic size of the farm (Standard Output in Euro),measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_c18647d5b6e2c327c671""]",run_5f8127cf8e6be829b1ac
term_6cc6165729f5e7f40aea,Agricultural land prices by region,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_bcbc12880e327229b93e""]",run_5f8127cf8e6be829b1ac
term_0e0b3810707546d985d4,Agricultural land prices by region - historical data,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_59a1b38faa076944e27d""]",run_5f8127cf8e6be829b1ac
