term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_6b2f814447b4950aea70,%,unit,0.96,semantic-hybrid,True,unit dictionary or unit lexical pattern matched,"[""occ_588a6145269c983affb4"", ""occ_5c4d7031d7be0b15387d""]",run_7d30a4b00ad01fbdb893
term_0e91bf758e0f648609f5,% GDP,unit,0.96,semantic-hybrid,True,unit dictionary or unit lexical pattern matched,"[""occ_52d693f4ba6bc09f853c""]",run_7d30a4b00ad01fbdb893
term_e91bdc30033c072c5052,% of active population aged 15-24,unit,0.96,semantic-hybrid,True,unit dictionary or unit lexical pattern matched,"[""occ_57666e058d5c9b5a35e0""]",run_7d30a4b00ad01fbdb893
term_e4b8cb3a8e4923dbd54d,% of all enterprises,unit,0.96,semantic-hybrid,True,unit dictionary or unit lexical pattern matched,"[""occ_0bcefe99ea316f4f1082"", ""occ_31ad0bdb3b0fbf886e45"", ""occ_e6d2dbbd62518a9fd67a""]",run_7d30a4b00ad01fbdb893
term_0317e6b04aad2815e947,% of all tertiary education graduates in STEM education fields,unit,0.96,semantic-hybrid,True,unit dictionary or unit lexical pattern matched,"[""occ_4b248dfb2afb2b05e1a5""]",run_7d30a4b00ad01fbdb893
term_676279136741d4e033a4,% of enterprises,unit,0.96,semantic-hybrid,True,unit dictionary or unit lexical pattern matched,"[""occ_fa9aed3347655b703236""]",run_7d30a4b00ad01fbdb893
term_3145dbb1980c05020a5c,% of GDP,unit,0.96,semantic-hybrid,True,unit dictionary or unit lexical pattern matched,"[""occ_01e7ff5fe33ed46a85f7"", ""occ_39ff3156be3884bbb6ba"", ""occ_5e44835fd4d6e7c77375"", ""occ_673088093819ba43456c"", ""occ_8155d6daaf586e917a8e"", ""occ_8f2922ae6281ff6a229a"", ""occ_a1ef680b91937f4f0dc0"", ""occ_c4f282616aececcbd736"", ""occ_c5f860c9bb2996bb86e7"", ""occ_da7175b2de9e6cd2981f"", ""occ_dbe20cab74aa624ffa69"", ""occ_f278b4d0fd93604fec5d"", ""occ_f327235ed3796bc03ec5"", ""occ_f46e3070c67520da066e""]",run_7d30a4b00ad01fbdb893
term_a400684622c75f999671,% of gross loans (source:),unit,0.96,semantic-hybrid,True,unit dictionary or unit lexical pattern matched,"[""occ_a0aba57fb8b73a925a99"", ""occ_d294f42e50803aa3e233""]",run_7d30a4b00ad01fbdb893
term_05a8d9bdfad74e8071af,% of persons employed in all enterprises,unit,0.96,semantic-hybrid,True,unit dictionary or unit lexical pattern matched,"[""occ_4fdf93215a27e44d0119""]",run_7d30a4b00ad01fbdb893
term_4a3f768fb54f1f559200,% of persons employed in enterprises providing CVT courses,unit,0.96,semantic-hybrid,True,unit dictionary or unit lexical pattern matched,"[""occ_e045baaa3a4987fea4c6""]",run_7d30a4b00ad01fbdb893
