term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_74ea855f131291a5db83,Abstraction and use sector or treatment type,dimension_name,0.98,semantic-hybrid,True,metadata column name evidence,"[""occ_7d5bc59052f4dd3a1198"", ""occ_7de558cc2880e1989dc6"", ""occ_c12ff494b2624c9a2d00""]",run_d0d5415dcc5fdcae1cb4
term_4ae69896984e2ec32e17,Accident,dimension_name,0.98,semantic-hybrid,True,metadata column name evidence,"[""occ_493be9bc79d3f58013fb"", ""occ_608e7f7d03d2ee717c3d"", ""occ_8c007b72cee142e47e3e"", ""occ_f11af33e8987b41cbcf4"", ""occ_fbcd0e9ae7c00c66fa1f""]",run_d0d5415dcc5fdcae1cb4
term_69d6d8044fe022b058e1,Accommodation unit,dimension_name,0.98,semantic-hybrid,True,metadata column name evidence,"[""occ_29b937a60f1644a9849f"", ""occ_cb2ae0fd39f265f5d92e"", ""occ_e4b984dc670821a41e44""]",run_d0d5415dcc5fdcae1cb4
term_47573372bc7696d600cf,Activity and employment status,dimension_name,0.98,semantic-hybrid,True,metadata column name evidence,"[""occ_000c72cbd3a196a995a6"", ""occ_05376be3b8562d395eae"", ""occ_0e2c22d58de018f3366a"", ""occ_0fdf718b47b1728cb5ea"", ""occ_144a16a1c7a9c127b351"", ""occ_18696376e643ecb2c589"", ""occ_197492cf840b2e271c63"", ""occ_2b75d8add902017126da"", ""occ_31ce9b6e83ca46a77f97"", ""occ_348a9003e5f96348aa56"", ""occ_3b815a8b617192543af2"", ""occ_3d2d3f11d5e9b5933297"", ""occ_4bcde9d15055be908996"", ""occ_50097ed7339a7ed819ab"", ""occ_578ee84b0e77748dd262"", ""occ_5ef657cb72ee79dbee1b"", ""occ_681d215157e25355625f"", ""occ_74eb44873e4dee18ae1b"", ""occ_783986e9f1e8fd926932"", ""occ_7b37d5ae20af69187e40"", ""occ_7ea03b17178285359dfa"", ""occ_822fc873a551bf254952"", ""occ_8b896a87f07ed3f209ac"", ""occ_93a457f10d2c2fc5c422"", ""occ_93cd756261789f7939dd"", ""occ_9c92f20e86ce29669fe9"", ""occ_9c93f14b913d593d2a1b"", ""occ_9e63b24703da91e14d84"", ""occ_aae4ff24a8ec35a25358"", ""occ_ad3dd53d1584e728efd0"", ""occ_b1e8d12960a4caef3f00"", ""occ_b864997c09d7b8bb6965"", ""occ_b8edaf832b2bd2f2fd13"", ""occ_c3d6b6696de8142807c5"", ""occ_c6f02be91e12eeb0a02c"", ""occ_c8065fc22b4f81792c85"", ""occ_d0e069e71c16a4621d02"", ""occ_d17049bc36d74dcea0f6"", ""occ_d1c64987b3febb5e7795"", ""occ_d8c927027b94bfd31547"", ""occ_dbb949ba61992577ba77"", ""occ_e568d40c402f9eed706b"", ""occ_ea22b3e8a86e3f8c57c2"", ""occ_ed71fd94afdee55fabd6"", ""occ_f8e82b2e20434a7df38d"", ""occ_fcdcd9810590af331af0""]",run_d0d5415dcc5fdcae1cb4
term_7e3cc7286fd245dc9c45,Administrative domain,dimension_name,0.98,semantic-hybrid,True,metadata column name evidence,"[""occ_1d553c76f74483a559bf""]",run_d0d5415dcc5fdcae1cb4
term_869f0643b37b78f2a38e,age,dimension_name,0.98,semantic-hybrid,True,metadata column name evidence,"[""occ_02aa6173f88523c86bf2"", ""occ_83dff5cd1f3df092a22a"", ""occ_8ed5509b76f8d8be3a44"", ""occ_ed58a643dca5977c53b7"", ""occ_f04500455e8925756a75""]",run_d0d5415dcc5fdcae1cb4
term_a3eb37e2e7d3d4d539b4,Age class,dimension_name,0.98,semantic-hybrid,True,metadata column name evidence,"[""occ_00831d49e6dee2022c70"", ""occ_00be51356a606c273409"", ""occ_00e9b6295f2015ac545f"", ""occ_021cbb53954a6ecfa5b1"", ""occ_023f2b931bc6272702db"", ""occ_03c1bc5bb74a8f88c18c"", ""occ_04009378584e4b7260e4"", ""occ_042caabb8531f6e5aba5"", ""occ_04f19c2b402a0aa28401"", ""occ_069981b4929b6b594677"", ""occ_08b6ed10d7d2beff5b49"", ""occ_08caa8576f7f68eb492e"", ""occ_08db99be78a9225160fa"", ""occ_0a6b353d3d731a9c81dc"", ""occ_0a9050088fb968f5f77c"", ""occ_0bc24f8484588be94119"", ""occ_0bc5d326676be573f241"", ""occ_0c4a65c19a66dc23aa65"", ""occ_0cb1f829af1b3d1ed119"", ""occ_0d424c6672a1ae9adc2f"", ""occ_0fc10209a860e6e39ca5"", ""occ_106afc2a395aa5a51f00"", ""occ_1094f7bd284dffe973da"", ""occ_1123ed96b69118a454db"", ""occ_1141455f9387099e454b"", ""occ_12113fde907e480afade"", ""occ_1224d48c675d31fc9b3b"", ""occ_123f0a4b3a49a161abbf"", ""occ_12c04804b57c8143f954"", ""occ_135dd0ec0aafaf61423a"", ""occ_13e2fa42d1636fb49fac"", ""occ_144ff792f718c2bd7c26"", ""occ_15491ba79959f783d721"", ""occ_170f46abc3f6a41ff68f"", ""occ_17ffbb97bc8fc1128790"", ""occ_198c1489338e480b2f43"", ""occ_1adeeaff41464ec630d0"", ""occ_1c1322a8f1673c1c9e08"", ""occ_1c9e92ee8b02cc985bd5"", ""occ_1d079619638245aec28e"", ""occ_1d6ae5bff557adac7e90"", ""occ_1e962c0fbc1b14078f89"", ""occ_1f0c0af9558d29217b1a"", ""occ_1f1c01ebd6a531287fa6"", ""occ_1f451e0db3c8deed77fa"", ""occ_1f74e9de728e522b2c80"", ""occ_21b0c62685bd20cff047"", ""occ_22e9e02b69b9db6f2ab2"", ""occ_2308f5417f14933c88f2"", ""occ_24c7800cdd01547cd6cd"", ""occ_254f8ef24d67549778b3"", ""occ_26c1b54c9115382c1eb8"", ""occ_271aade90bac8caa6523"", ""occ_273fa5f62d34c993a816"", ""occ_27b2674e37e5042491f9"", ""occ_286f2a5272cffa47754c"", ""occ_28d3a43d91a0f0511106"", ""occ_2bd9197137e506e5bd11"", ""occ_2bee4b00b0b126dcd858"", ""occ_2c043bf0408bd55910f9"", ""occ_2c34e787f47cb3d1f013"", ""occ_2c43c235734e90a56d6c"", ""occ_2cdbeb46437121bf319e"", ""occ_2d1893d33c4d45e91a6a"", ""occ_2d79e24fdc2d2ccad548"", ""occ_2e0d00d8e9153de39cec"", ""occ_2e833a0bf2a6f739b0b9"", ""occ_2ebee6a72afd6fde3c19"", ""occ_2eded5ef098fc5eb8051"", ""occ_2f5a4145fc0efdb16a2e"", ""occ_30de685c604711938bc8"", ""occ_31612471729a06ba5e31"", ""occ_31840e8cae5dfd2a84c3"", ""occ_3299821805e5af7bcc88"", ""occ_3331686c206a48403fde"", ""occ_336f17376dd85d007bbe"", ""occ_33cacffd6db83bd1ef3b"", ""occ_33d2f6937065078106b3"", ""occ_33ed25ce2b0f15edcf17"", ""occ_35363c2da6f0580f0178"", ""occ_3543e202d21699eb1405"", ""occ_366d19e0c6389829cf20"", ""occ_37105663da6b2c2ada72"", ""occ_37f10700707f0061aec3"", ""occ_387c598030ee78d4e7c7"", ""occ_39c39e4e02042156e462"", ""occ_3a324c2e4340bc992a69"", ""occ_3cb17660e614f24c587e"", ""occ_3e9a68068d7dccf8ee79"", ""occ_3f234b614ab4dca9173f"", ""occ_3fb7083ad7c0f67fea6f"", ""occ_40c1ff889dd6d88a29fe"", ""occ_4185f2c7b04383e9aca9"", ""occ_41c6f038b2ba17e51904"", ""occ_41dff594f9022ffec956"", ""occ_43b2a9d411829e14159b"", ""occ_43d2c5845f3e5497d2e7"", ""occ_4408ec80bd5b205efb6e"", ""occ_44490c8b43f285354b69"", ""occ_446cd94dd6bd2a2b4514"", ""occ_44b170f4e101c05eacb5"", ""occ_45b8266cd80fdba7c81b"", ""occ_4793c97e9630715d6282"", ""occ_48629147474edc04a2fd"", ""occ_486eea9de92d1c73bdaf"", ""occ_49223790808a4a71ed27"", ""occ_49a9bc40889409ecb412"", ""occ_49f22e950b5db4fbf20c"", ""occ_4c0443ab634557e2a5e5"", ""occ_4cb9f51978908f2b1e42"", ""occ_4ceac5a97bb103112321"", ""occ_4e52da3dd97013c57a02"", ""occ_5061730d845f55c613a1"", ""occ_508e22dfa16054107526"", ""occ_50b7f82a7ede9a5c9a11"", ""occ_50dd278f041a60f3c605"", ""occ_514e2e7b589511ddbeed"", ""occ_53569679c069e9b013db"", ""occ_54de801a30aa107118b1"", ""occ_578dbad03cd5880a8631"", ""occ_57ee0f9d1d996f185680"", ""occ_587cba9aeb1162c76a55"", ""occ_599b105c20ef93a9cf7a"", ""occ_59ba1b23908cdedb5018"", ""occ_59bb91dfbe52d8ed2974"", ""occ_5af17f8357fd7efd6ad0"", ""occ_5b0d4e17816af8609b75"", ""occ_5b3a284e465a90ba0ce2"", ""occ_5b4870928b738f213eae"", ""occ_5be7358309eb37701fb5"", ""occ_5c568712399c2799785d"", ""occ_5c5ebf8ad9f497baea7f"", ""occ_5ce8164176e9197dc363"", ""occ_5fed80880206652f9d81"", ""occ_61f36f15527fafdb70f6"", ""occ_625424cdda1aedd9a7f3"", ""occ_62b7f4c3927d509302ab"", ""occ_634ca769b11377138275"", ""occ_6360a854c087cbe76992"", ""occ_63d05036d843a6dc8ba0"", ""occ_6511f650d0c58d30c302"", ""occ_6552ff32cf55377fad69"", ""occ_6560b1562b40fc45084d"", ""occ_6644380bc3a4fdb45a22"", ""occ_6669c7d2d2a6b05a2e5b"", ""occ_6763432704f359dab102"", ""occ_682abe06c76945ddcd10"", ""occ_6a7b2c859e259a5bdda7"", ""occ_6cbf98185ca89112162d"", ""occ_6e4f64e92dee807573dd"", ""occ_6ebe5453b4f3ec813299"", ""occ_6f7d1ccace5458ae8a88"", ""occ_7049ab43f64116189235"", ""occ_7185ee6746c61876e38c"", ""occ_71abd6cc8f9993c710ed"", ""occ_71b826ba119861181579"", ""occ_729d3a00f692819b2390"", ""occ_72dfcf48934ef5264a09"", ""occ_72f2d1ca069d81e00969"", ""occ_73285f61734033ad0814"", ""occ_736d7f72fad9afa701f7"", ""occ_7388e4b6cb31791ce41b"", ""occ_739fdf97f148ca72995e"", ""occ_742d70f57bc0ff02ac6e"", ""occ_7515ffef4bc7b07ee848"", ""occ_75d95e815c707bba10d1"", ""occ_76beb8d2ee0d6093e23e"", ""occ_76dbed9303859a966d4c"", ""occ_785ea86e814d84e90749"", ""occ_78919c4c08380bf3e17c"", ""occ_791b93166eaccab4e591"", ""occ_792656f852d07bfd4ab2"", ""occ_7a4ea67e2072cfc64e7f"", ""occ_7a6e0b7ba47c66f91ac0"", ""occ_7b3e955f159bec6263ac"", ""occ_7b3f1ffdf31c76286350"", ""occ_7cd8815556e2a259a74b"", ""occ_7d09ec7e1bd625716a04"", ""occ_7eba40588e2c27807016"", ""occ_7f25ef574be9e1aa8ca4"", ""occ_7f339387ac3a4d580b86"", ""occ_7f5dab0588d2fe491860"", ""occ_815ed1a1a96b9c12c116"", ""occ_822824cfd973bfcd2ec3"", ""occ_831e6ac80101c8f8db33"", ""occ_838d1451761c89f80a1f"", ""occ_840d2224f61b970d51da"", ""occ_860614b7c99aab9d35d2"", ""occ_8681744b8462976343da"", ""occ_872313f2038f242c4687"", ""occ_88a695ba0565a1983ad4"", ""occ_894a3caa916cdf2e00a1"", ""occ_89cd95d24edd436946a0"", ""occ_8ab8b2ef073834eab19f"", ""occ_8adbdfe6432e12ac6315"", ""occ_8aff117a3ad3e0c5f82f"", ""occ_8b61f18a5bf69e483e22"", ""occ_8bc74e3a4c4f1db74293"", ""occ_8c55031986df68828b06"", ""occ_8daec8d72b1fa3794f69"", ""occ_8e3128dc12ee7a07101a"", ""occ_8f2559896c34663700a8"", ""occ_9005aaed9e1b3e974fca"", ""occ_9129375faabc20b37247"", ""occ_914ba6b440159a4cfefa"", ""occ_9318829574c67574691d"", ""occ_9344a9ef5737f778332d"", ""occ_937772288eab4aa39730"", ""occ_93ecec8d89e551ee6a3a"", ""occ_93f7db43962341e12f0a"", ""occ_96aa4b261fefe7097d54"", ""occ_974d02bbbcac277c5aa9"", ""occ_9768381286fb1c065e2d"", ""occ_9795975a9743b50e3291"", ""occ_991637ecf165db788eb4"", ""occ_9a889fbf958e7370244e"", ""occ_9b2345d28fee8e0ffb0d"", ""occ_9b3152c59dcbdfd85d46"", ""occ_9c730784985f0e25a69a"", ""occ_9c9a74586adece8b7274"", ""occ_9d5732c76c46dcf363e3"", ""occ_9d6fffe3ea7d45711dd3"", ""occ_9dd53bc82cfb57ced281"", ""occ_a07c320a4e56d8502f8e"", ""occ_a08c19b9207cab4da0d7"", ""occ_a0fe77cdc696e286a768"", ""occ_a101878e3d124e62fa57"", ""occ_a125378924d42649092f"", ""occ_a17adfe60df4d1b5aa82"", ""occ_a259bb92f9a483a75410"", ""occ_a2a61799ce13408933fa"", ""occ_a4872acf3e6208446c1a"", ""occ_a50b864d1d14fe418e59"", ""occ_a5d71514e6a54bd2b091"", ""occ_a5e3d1a8d5d8f062947d"", ""occ_a5ef678dc892e439a029"", ""occ_a6af89dab52a7b027280"", ""occ_a720790a2b85bf85a3b8"", ""occ_a917ec8b9ecea741f611"", ""occ_aa49d7ca14a5acf64bb0"", ""occ_ab0507d845a871184a46"", ""occ_ab7685cfe0bdcb583c55"", ""occ_ab9d86f64b01fb9b5ce0"", ""occ_abda77d37f09b43355d1"", ""occ_ac1edaca7e5efc4efd11"", ""occ_ae5384674124f71b4e6a"", ""occ_ae8063a05ef7e94f029b"", ""occ_ae89050b02ff269089e5"", ""occ_af676178231ae3d96046"", ""occ_af6fce33f2b40931c147"", ""occ_afbe384d8df78bd6e383"", ""occ_afd0dd7134be2b1caac9"", ""occ_b0f1007b4a2b90773dbd"", ""occ_b11e9de20de9fd773307"", ""occ_b23b81a66cd07e4f41a1"", ""occ_b250d9bac7fb0f0f3d1a"", ""occ_b250fc8d6e0e8d84f08c"", ""occ_b28848ef6db2d2622d98"", ""occ_b2dc22a4e164c4dc56e9"", ""occ_b52cad6e68c5af182862"", ""occ_b620713a88cf364f37de"", ""occ_b66801ec1a74228b94ae"", ""occ_b691f875c45f33f66d04"", ""occ_b73e59650a318960ceaf"", ""occ_b83432effe4c47c50a2a"", ""occ_b8796ff50b8e56e2b2db"", ""occ_b9f9406f073d6a985d70"", ""occ_ba8751ea590900d9d098"", ""occ_bb3f6ff1c54c259459af"", ""occ_bb5e568cc58028845b51"", ""occ_bbac6c836c04110443c0"", ""occ_bc2cddd3dce49178b3db"", ""occ_bc68a22c1ad7998ac07e"", ""occ_bcd9baa4f31678bf0462"", ""occ_bd0556ab0d9da5b3b53b"", ""occ_bf28373286e6066ec4ca"", ""occ_bf881303f774542a66b6"", ""occ_bf94a5082685d8852a47"", ""occ_c07e4f088032ed883fa6"", ""occ_c094632ee9e23d92a5be"", ""occ_c0ad934c31e100f1e082"", ""occ_c1d5725b6fda818ffbbf"", ""occ_c274c324d814f2bda452"", ""occ_c31795404ecff760e06c"", ""occ_c31f8a86ac0e7bb3e671"", ""occ_c3bea2e7122351af395d"", ""occ_c40b1a88b45bd26538e3"", ""occ_c51c9e678d50ec418746"", ""occ_c69dddd0f853a9e331a1"", ""occ_c6c74387c9d99b287ac8"", ""occ_c6e9eba7f884f7eb4765"", ""occ_c726ecf4fdee43bf7c65"", ""occ_c7d552484d99a0134c61"", ""occ_c83288f70aba1ab6a335"", ""occ_c85505e8454fbfa760ef"", ""occ_c8d1034f62915bf84234"", ""occ_c9eae51b0d1f9586dd70"", ""occ_ca0371b63eb5aafc6ec0"", ""occ_ca29e13631690d038e94"", ""occ_cc1cc7fa180c072c6c72"", ""occ_cc1f3b48264abdd6ac92"", ""occ_cc44de7d5648609c90e0"", ""occ_cca6d578d61eb08453bb"", ""occ_ccb908a83d8acfb2b89f"", ""occ_cd3c7a1395ab0e0a84ec"", ""occ_cdd22560e42b380e2ea5"", ""occ_cdfd0817b2217b55b59d"", ""occ_cf41a82136bf6cd9b37a"", ""occ_cf6cda9cc103c9bcf98e"", ""occ_cf7ebe0e4e8fb50f640e"", ""occ_d149532d2f3228994341"", ""occ_d215effe072fcf11cb2a"", ""occ_d3db7e7379870d50ffe2"", ""occ_d4d6fda02b5977ff2416"", ""occ_d4e121d69cf492b0a729"", ""occ_d52f2b5980d4cb4aa820"", ""occ_d5d2b82c487c9aeb73cd"", ""occ_d64e34905e188a784a40"", ""occ_d682fbac3aefedf193e4"", ""occ_d6eb196e9ca85fec3541"", ""occ_d7514914c9c5b98e9c87"", ""occ_d7be9756c9cf270ba538"", ""occ_d8bc92e66527d57e114e"", ""occ_d94cdc3a816b3aef5b14"", ""occ_d97af5065ccf029421fd"", ""occ_d9d1922a216e67ce339b"", ""occ_da038706747f4d68a442"", ""occ_daa9597cf7c7c44e7f16"", ""occ_db05bd74cbc54815ac43"", ""occ_dbbe3a14ca53a7c4b266"", ""occ_dd39c3b75ccacdc0050c"", ""occ_dd6f6018bc8617a13581"", ""occ_ddaeb8904861e97d75a3"", ""occ_df1569f71a8efd2a304b"", ""occ_df222d1b895c21456873"", ""occ_df4d14ddfc1ae9a421d7"", ""occ_dfe0432c9fdb665152a6"", ""occ_e1a161ea37c9330e71e3"", ""occ_e1ee86a3b6d1601dac11"", ""occ_e2421652dc7568ff93d2"", ""occ_e278f147256af54afbaf"", ""occ_e323f634be1440c8eae7"", ""occ_e343e88b9e0b1611c62a"", ""occ_e362ef2365fe92e6de22"", ""occ_e363ee6994bea9bbc2d2"", ""occ_e4505aa08f5bf37d1dac"", ""occ_e4bd9491c8277a6081da"", ""occ_e5630bfb14f418515534"", ""occ_e66e91d83640d8612a9e"", ""occ_e6e921dff520453e5c45"", ""occ_e79b9f2eb254f91945c0"", ""occ_e7ec707f27f3773730d6"", ""occ_e8870031e191a2be9175"", ""occ_e8a918ccff1bbf9690ac"", ""occ_e994c2b43815905193e8"", ""occ_e9b219acf3fb386b9bf8"", ""occ_ea5b1fbb8bfe22bc9411"", ""occ_eb81857a0c937ad95ed2"", ""occ_ec862912a2139878fb55"", ""occ_ed1b90bccf2b6307d527"", ""occ_ed2c234bd93e4c4ac882"", ""occ_ee1cf97ebde1f6cbd72c"", ""occ_ef12b6e93e5a3da822c8"", ""occ_f0f8faebd7d30bc0865d"", ""occ_f112b9063aa7891f5e7a"", ""occ_f12a42752123ce747a95"", ""occ_f1609ae7f84570b3decf"", ""occ_f268d7b53419fffe65dd"", ""occ_f4536d4014897ce8a704"", ""occ_f7a9b573f544c6217459"", ""occ_f7f8f04e6d1867931918"", ""occ_f8772275fd53bec385d0"", ""occ_f944f883e3756ea54205"", ""occ_f9e5ba0435a4be31dad1"", ""occ_fba179025d1f74fde614"", ""occ_fbf65eaf49789affff02"", ""occ_fc813dd36d23f5d005af"", ""occ_fc96dcc0c0f15f96c33a"", ""occ_fcecd379f29bc3c5cc6c"", ""occ_fdb41457ec229a419f40"", ""occ_fe3237e984bb134fd271"", ""occ_ff5e00b3d94d730173a0""]",run_d0d5415dcc5fdcae1cb4
term_be9b82aa8cfea7069135,Age class\Time,dimension_name,0.98,semantic-hybrid,True,metadata column name evidence,"[""occ_92bd00c43fdad87e8510"", ""occ_fdd0b32e4ae4f2203240""]",run_d0d5415dcc5fdcae1cb4
term_5725f6ca1c4139aaa95c,Age definition,dimension_name,0.98,semantic-hybrid,True,metadata column name evidence,"[""occ_5cbb21148f94ba549323"", ""occ_b17b07d27c299e3787cf"", ""occ_bbbf31b627e10b967ade""]",run_d0d5415dcc5fdcae1cb4
term_95c0dd76750bedda80b7,Age of the child,dimension_name,0.98,semantic-hybrid,True,metadata column name evidence,"[""occ_ab0d0d937c4587d06a0f""]",run_d0d5415dcc5fdcae1cb4
