term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_f92aa0607c2b5c538059,1 activity and employment,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_804766179f4830648dba""]",run_d96fee3c3c6166fddbac
term_ae1f4ef44ee128d00b40,1 activity and employment status,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_02097b67cef22603687a""]",run_d96fee3c3c6166fddbac
term_290bbaa73df30999a339,1.1 activity and employment,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_de22f700e2ab735469c2""]",run_d96fee3c3c6166fddbac
term_0e86b7dc373a37bc4ce4,1.1 activity and employment status,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_fab0e7d18fb45a53578f""]",run_d96fee3c3c6166fddbac
term_eb6cd7da4972ac3d2937,1000 of corresponding age population,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_9bafdf4be2aa5389716d""]",run_d96fee3c3c6166fddbac
term_d642b0d05751e9980989,15-24) neither in employment,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_8cefd7b09448e6d469b4""]",run_d96fee3c3c6166fddbac
term_b5d9f16b16f448136985,2 region - % of the population,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_37427f4a3defbeb46cf9"", ""occ_8a3d689b78962f6a44cd""]",run_d96fee3c3c6166fddbac
term_1d8de4686876a5ad8cdd,2 region - % of the population of,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_51d09b2af9078c8af17a"", ""occ_8dc49a63ccc9fde82a95""]",run_d96fee3c3c6166fddbac
term_60c705d91a6a7e292a1f,2 region - % of the population of the,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_c18126792cbf6ba64b6f"", ""occ_f98f838730c9ce49dd5a""]",run_d96fee3c3c6166fddbac
term_1ec4e9a4cce0e2bd4b55,2 region - % of the population of the corresponding,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_3762a649aafed41b845c"", ""occ_e88be6135e2f0d610a34""]",run_d96fee3c3c6166fddbac
term_0a182caf0f168cf04942,3 by sex - as % of the population,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_4ccf405f5d71441d6913""]",run_d96fee3c3c6166fddbac
term_50864d39aee50e16110c,3 by sex - as % of the population of,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_d9dac73efb23ea4d8357""]",run_d96fee3c3c6166fddbac
term_0f2b3dc72dbfb9df4051,40 % of the population,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_012776f5b278b2e5b61a""]",run_d96fee3c3c6166fddbac
term_f5213a127a8488a1ed73,"a domestic perpetrator, by country of birth",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_4c1fa094d41898c2a20a""]",run_d96fee3c3c6166fddbac
term_eda8ed1ce0eba77846ef,"a non-partner, by country of birth",measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_18b1f0e47dfb53d7bb34""]",run_d96fee3c3c6166fddbac
term_1841dde785c10e5eeb3d,A of the income from agricultural,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_66e7361e0a810698324f""]",run_d96fee3c3c6166fddbac
term_84ba59b6c245c2358047,A of the income from agricultural activity,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_96bd8d0d79b187472b9f""]",run_d96fee3c3c6166fddbac
term_8edcbec9396e6e38b16d,a share of GDP,measure,0.88,local-hybrid,True,title evidence with measure lexical cue,"[""occ_5ec14693cc9c5d00591b""]",run_d96fee3c3c6166fddbac
