term_id,term,baseline_cluster_id,method,evidence
term_f92aa0607c2b5c538059,1 activity and employment,cluster_717245bdba31,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_ae1f4ef44ee128d00b40,1 activity and employment status,cluster_717245bdba31,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_290bbaa73df30999a339,1.1 activity and employment,cluster_717245bdba31,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0e86b7dc373a37bc4ce4,1.1 activity and employment status,cluster_717245bdba31,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_eb6cd7da4972ac3d2937,1000 of corresponding age population,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d642b0d05751e9980989,15-24) neither in employment,cluster_fd27aed274d2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_b5d9f16b16f448136985,2 region - % of the population,cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1d8de4686876a5ad8cdd,2 region - % of the population of,cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_60c705d91a6a7e292a1f,2 region - % of the population of the,cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1ec4e9a4cce0e2bd4b55,2 region - % of the population of the corresponding,cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0a182caf0f168cf04942,3 by sex - as % of the population,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_50864d39aee50e16110c,3 by sex - as % of the population of,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0f2b3dc72dbfb9df4051,40 % of the population,cluster_32528f9d8077,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
