term_id,term,baseline_cluster_id,method,evidence
term_20d6b4a1cc5307075745,Accidents in waterway transport,cluster_f7c5001b3c2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_2c16cafab319d30eed0d,Accidents involving the transport of dangerous goods,cluster_f7c5001b3c2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0f8f9cf7bf3053d8d92c,Accidents involving the transport of dangerous goods - annual data,cluster_f7c5001b3c2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_28537334be6786e5aad6,Adjusted gross disposable income of households per capita in PPS,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a8771db3c5fdeaea7553,Aggregate propensity to consume by income quintile,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_dd253336ca9a867f3b27,Aggregate propensity to consume by income quintile - experimental statistics,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d159d1d70a676d86fe50,Agricultural holdings by age of holder,cluster_b606967bfaf1,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0d7a0d04c0ce32966ea7,Agricultural holdings by agricultural area,cluster_b606967bfaf1,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f2c0c07a0e4bc0b204b8,Agricultural holdings by economic size of the farm (Standard Output in Euro),cluster_b606967bfaf1,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6cc6165729f5e7f40aea,Agricultural land prices by region,cluster_b606967bfaf1,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0e0b3810707546d985d4,Agricultural land prices by region - historical data,cluster_b606967bfaf1,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6f2b02206af9e587fed1,Agricultural land renting prices for one year by region,cluster_b606967bfaf1,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e422348de0704bae21cd,Agricultural land renting prices for one year by region - historical data,cluster_b606967bfaf1,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_91ab15d8f699b278f32c,Agricultural real factor income per annual work unit (AWU),cluster_fc59ce925147,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0b214cfd73ab25abb7b2,Air passenger transport,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d2e804e762d250d07c7c,Air passenger transport - ENP-South countries,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_7dcf76b37479e12f0002,Air transport equipment,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_45c3f1dcec8bf74b3b4e,Air transport equipment: number of aircrafts,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_34fd33d58a573e6288b3,Air transport infrastructure,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_c9079f249b58f620e9c3,Air transport infrastructure: airports,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6a711696e7225f1e4d10,Air transport infrastructure: length of paved runways,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a0016567b77ecdefeda9,Air transport of freight by NUTS 2 region,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1051834513fa48bf6daa,Air transport of goods by country (yearly data),cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_b13910a22b73184ff80d,Air transport of passengers by NUTS 2 region,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_b847033074daa0b60a7d,Air transport traffic,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_54d9b1f4afa97eb30220,Air transport traffic: freight and passengers,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_50eb0e42cf2464964ee5,Air transport traffic: number of aircraft movements,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_26408b77200929d0bb01,Animal output - basic and producer prices,cluster_fc59ce925147,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_558f4a8e9de234d081fa,Annual aquaculture production,cluster_f2d7baeb95d9,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_de9b03884237b6ceb33d,Annual aquaculture production - live weight in tonnes,cluster_f2d7baeb95d9,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_08daf5eebc86334e6fe1,"annual data, % of GDP",cluster_717245bdba31,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e327dc97a9636e3ea46d,Annual production and utilisation of milk on the farm,cluster_f2d7baeb95d9,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_c8cbf667c7ff9a10e81f,Aquaculture production by aquatic environment,cluster_f2d7baeb95d9,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
