term_id,term,cluster_id,domain,membership_probability,is_representative,labeling_method,evidence
term_20d6b4a1cc5307075745,Accidents in waterway transport,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_2c16cafab319d30eed0d,Accidents involving the transport of dangerous goods,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_0f8f9cf7bf3053d8d92c,Accidents involving the transport of dangerous goods - annual data,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_28537334be6786e5aad6,Adjusted gross disposable income of households per capita in PPS,cluster_84a10ec4eb87,cross-domain or other,0.999378,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""economy and finance"": 0.7286435528360393, ""environment and energy"": 0.6519930377463107, ""health"": 0.6568422343562978, ""labour market"": 0.7009352358476473, ""population and demography"": 0.7137265756915805}, ""source"": ""hdbscan_pearl_small""}"
term_a8771db3c5fdeaea7553,Aggregate propensity to consume by income quintile,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_dd253336ca9a867f3b27,Aggregate propensity to consume by income quintile - experimental statistics,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_d159d1d70a676d86fe50,Agricultural holdings by age of holder,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_0d7a0d04c0ce32966ea7,Agricultural holdings by agricultural area,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_f2c0c07a0e4bc0b204b8,Agricultural holdings by economic size of the farm (Standard Output in Euro),unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_6cc6165729f5e7f40aea,Agricultural land prices by region,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_0e0b3810707546d985d4,Agricultural land prices by region - historical data,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_6f2b02206af9e587fed1,Agricultural land renting prices for one year by region,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_e422348de0704bae21cd,Agricultural land renting prices for one year by region - historical data,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_91ab15d8f699b278f32c,Agricultural real factor income per annual work unit (AWU),unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_0b214cfd73ab25abb7b2,Air passenger transport,cluster_310e64b58954,transport,0.930540,true,embedding_threshold,"{""classification_run_id"": ""run_75b90575bb9e48ce7918"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6568437781978611, ""economy and finance"": 0.6812492999573971, ""industry, trade, and services"": 0.6995698206879771, ""labour market"": 0.6614922186669936, ""transport"": 0.860033991344811}, ""source"": ""hdbscan_pearl_small""}"
