term_id,term,cluster_id,domain,is_representative,coherence_score,domain_label_quality,representative_quality,notes
term_558f4a8e9de234d081fa,Annual aquaculture production,cluster_0747a3157ffb,"agriculture, forestry, and fisheries",false,,,,
term_226172b7f9c30b7a429a,Production of sheepmeat and goat meat in slaughterhouses,cluster_0747a3157ffb,"agriculture, forestry, and fisheries",false,,,,
term_1f0f520b54430bc6abe1,Population connected to Wastewater Treatment,cluster_0759ac914a9e,cross-domain or other,true,,,,
term_5f7e6cf5264e9854d4ea,Causes of death,cluster_08676e4a8f67,cross-domain or other,false,,,,
term_956ee1e95cb224363643,"Death due to AIDS (HIV-disease), by sex",cluster_08676e4a8f67,cross-domain or other,true,,,,
term_57d1f644eb4f567ee35e,"Death due to other ischaemic heart diseases, by sex",cluster_08676e4a8f67,cross-domain or other,false,,,,
term_5849d9c0db41e7b9acb9,"Death due to transport accidents, by sex",cluster_08676e4a8f67,cross-domain or other,false,,,,
term_c09913cf45bdb5830bad,Graduates at doctoral level by sex and age groups - per 1000 of population aged 25-34,cluster_0a4bab53e5fe,education,false,,,,
term_de1275695e85a9ad231b,Gross value added - NACE Rev. 2: - volumes,cluster_2cdcfe259942,economy and finance,true,,,,
term_0b214cfd73ab25abb7b2,Air passenger transport,cluster_310e64b58954,transport,true,,,,
term_027275b4917a775d06d1,Country level - gross weight of goods transported to/from main ports,cluster_436a35bf5d70,transport,false,,,,
term_a03bdea9a2c1ac178e82,"Short sea shipping - country level - gross weight of goods transported to/from main ports, by direction",cluster_436a35bf5d70,transport,true,,,,
term_f05dc66b43a245fd67c2,gross weight of goods transported to/from main ports,cluster_436a35bf5d70,transport,false,,,,
term_0bc9d7812026d642cd23,Effect of social transfers on income quintile share ratio S80/S20,cluster_506831c7dd56,cross-domain or other,false,,,,
term_6d86dd447f76de1a4400,Income quintile share ratio - S80/S20 - ENP-South countries,cluster_506831c7dd56,cross-domain or other,true,,,,
term_6e3300b3b76ec6fc07b9,Inequality of income distribution S80/S20 income quintile share ratio,cluster_506831c7dd56,cross-domain or other,true,,,,
term_2e238609443153c1dccf,Gender differences in the relative income of elderly people (65+),cluster_55cd06be7ef5,cross-domain or other,false,,,,
term_99869cc8c80491bbbd12,Gender differences in the relative income of elderly people (65+) - EU-SILC survey,cluster_55cd06be7ef5,cross-domain or other,true,,,,
term_6c28e669b8ae9b75d28b,"Direct investment liabilities (flows) - annual data, % of GDP",cluster_71139f449ed0,economy and finance,false,,,,
term_4b419433504b08218669,"Net international investment position - quarterly data, % of GDP",cluster_71139f449ed0,economy and finance,false,,,,
term_08daf5eebc86334e6fe1,"annual data, % of GDP",cluster_71139f449ed0,economy and finance,true,,,,
term_e05002e50ec575d45b7d,Retail trade volume of sales,cluster_72b5baeeb545,"industry, trade, and services",true,,,,
term_5574a85a609e8966b428,Consumer price index - ENP-East countries,cluster_80edd39ddbff,economy and finance,false,,,,
term_a1ec4c2cbf84309933ed,Consumer price index - ENP-South countries,cluster_80edd39ddbff,economy and finance,false,,,,
term_28537334be6786e5aad6,Adjusted gross disposable income of households per capita in PPS,cluster_84a10ec4eb87,cross-domain or other,false,,,,
term_b82538563afbccd385b6,"Barley by area, production and humidity",cluster_9391f8d593af,"agriculture, forestry, and fisheries",true,,,,
term_793c46c555df1c2cc3be,"Rye and winter cereal mixtures by area, production and humidity",cluster_9391f8d593af,"agriculture, forestry, and fisheries",true,,,,
term_084a82356f88b7f13c12,"Wheat and spelt by area, production and humidity",cluster_9391f8d593af,"agriculture, forestry, and fisheries",true,,,,
term_a8781b86da3b752f69bd,Goods transport by rail,cluster_94cf800a89a5,transport,true,,,,
term_335951c32d8d2116b9f0,Average population (mid-year),cluster_99358c580dcf,labour market,false,,,,
term_c959179fd99717013cd0,Part-time employment rate,cluster_99358c580dcf,labour market,false,,,,
term_93fc17aa9b69df511486,Unemployment by sex - age group 25-74,cluster_99358c580dcf,labour market,false,,,,
term_c396f89acaee68a2c8bf,Unemployment rates by sex and age - ENP-East countries,cluster_99358c580dcf,labour market,true,,,,
term_9d019695e06bee470d9e,Youth unemployment rate,cluster_99358c580dcf,labour market,false,,,,
term_0fcf4e988e3ce59aa8b1,Out-of-school rate by sex and age - as % of the population of the corresponding age,cluster_99cbd02aba19,education,false,,,,
term_d877db962664d4857680,"Out-of-school rate in population of lower secondary school age, by sex",cluster_99cbd02aba19,education,false,,,,
term_9a6b6617fb90a759d2c1,"Pupils aged 3 years old, by sex - as % of the population of the corresponding age group",cluster_99cbd02aba19,education,false,,,,
term_0972dcd431ad96904bc3,"Pupils from age 4 to the starting age of compulsory education at primary level, by sex - as % of the population of the corresponding age group",cluster_99cbd02aba19,education,true,,,,
term_56b4c088a0be47482038,Pupils from age 5 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age,cluster_99cbd02aba19,education,true,,,,
term_15bfeaad968154afb48f,Pupils under the age of 3 by sex - as % of the population of the corresponding age,cluster_99cbd02aba19,education,true,,,,
term_b1fb19c84fd17e2fd413,Expenditure on public educational institutions,cluster_9f5217e9767f,cross-domain or other,true,,,,
term_fa38f209e4b8c386f58c,Unitisation in maritime freight transport,cluster_aedee37960c7,transport,true,,,,
term_1eda2413fab212d2b53a,Unitisation in road freight transport,cluster_aedee37960c7,transport,false,,,,
term_523720a52ca07c570e36,Gross value added - NACE Rev. 2: - current prices,cluster_b032d77c2fcd,economy and finance,false,,,,
term_26408b77200929d0bb01,Animal output - basic and producer prices,cluster_b70da2ec1a1f,cross-domain or other,true,,,,
term_a1ccdeee056213c3adca,Output of the agricultural industry - basic and producer prices,cluster_b70da2ec1a1f,cross-domain or other,true,,,,
term_eacb2216fe4997adf92e,Consumer price index,cluster_b79ec27e90f4,cross-domain or other,false,,,,
term_34ee60daa9822653ce56,Regional disparities in gender employment gap (NUTS level 2),cluster_b93f4637d15d,labour market,false,,,,
term_962f61904b6619372cea,"Purchase price indices, total means of agricultural production",cluster_c8d379cc59d5,cross-domain or other,true,,,,
term_115d903267dadba6da0f,"Final consumption expenditure of households and NPISH, current prices",cluster_d0b90b2f986d,economy and finance,true,,,,
term_3dfd8e54220a5a7f4b4c,"Government final consumption expenditure, current prices",cluster_d0b90b2f986d,economy and finance,true,,,,
term_5cb1785dd3f1be3b9d22,"Non-financial corporations debt, consolidated - % of GDP",cluster_d1e893e7c222,economy and finance,false,,,,
term_20f0568d3084e3c66191,"Private sector credit flow: debt securities by sectors, consolidated - % of GDP",cluster_d1e893e7c222,economy and finance,true,,,,
term_1718a2844b38ef2cb8e6,"Private sector debt: loans, by sectors, non-consolidated - % of GDP",cluster_d1e893e7c222,economy and finance,true,,,,
term_51ed3941228748ad9c32,Domestic industrial production price index,cluster_de826995d586,economy and finance,false,,,,
term_fa079b5a5c445856b3d5,Import prices - consumer durables,cluster_de826995d586,economy and finance,false,,,,
term_318cf2b1f91f6cc6d9ec,Carrying capacity of the waterway transport enterprises vessels by number of vessels in enterprises,cluster_e22df4ed8343,transport,true,,,,
term_289d3ad56aa1ffc52628,Employment in waterways transport enterprises by sex,cluster_e22df4ed8343,transport,false,,,,
term_6f657ad56da603744e65,Goods road transport enterprises by number of vehicles,cluster_e22df4ed8343,transport,true,,,,
term_892ca2920961f51b7d30,Distribution of population by household types - EU-SILC survey,cluster_e7d0c36b4e48,population and demography,false,,,,
term_65b7a817742d84dc8b39,Overcrowding rate by poverty status - population without single-person households - EU-SILC survey,cluster_e7d0c36b4e48,population and demography,true,,,,
term_23202d38f263756ed950,Population in jobless private households,cluster_e7d0c36b4e48,population and demography,false,,,,
term_7218e473cbfc459e7f00,"Share of total population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames of floor - EU-SILC survey",cluster_e7d0c36b4e48,population and demography,false,,,,
term_452027397b2cdcf36d77,Share of total population not having indoor flushing toilet for the sole use of their household - EU-SILC survey,cluster_e7d0c36b4e48,population and demography,true,,,,
term_4fca53cde49e472d8d3b,population without single-person households,cluster_e7d0c36b4e48,population and demography,false,,,,
term_3c6db2dfbfb5d56d21f8,Selling prices of barley,cluster_f49b94d07c25,cross-domain or other,true,,,,
term_1b5c2b9c0bccd1eda4f0,Selling prices of fresh eggs,cluster_f49b94d07c25,cross-domain or other,false,,,,
term_f25b3958d6da1017e631,Production in construction,cluster_fbcb7007a26d,"industry, trade, and services",false,,,,
term_e454da1bd3a645c5546e,Production in industry - intermediate goods,cluster_fbcb7007a26d,"industry, trade, and services",true,,,,
term_20d6b4a1cc5307075745,Accidents in waterway transport,unclustered,cross-domain or other,false,,,,
term_91ab15d8f699b278f32c,Agricultural real factor income per annual work unit (AWU),unclustered,cross-domain or other,false,,,,
term_c9079f249b58f620e9c3,Air transport infrastructure: airports,unclustered,cross-domain or other,false,,,,
term_b24eebc0b3af6b6b4aa0,At risk-of-poverty rate for the population living in (quasi-)jobless households,unclustered,cross-domain or other,false,,,,
term_213859f5d72fd3eaad3d,At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17),unclustered,cross-domain or other,false,,,,
term_2d69baedc15824c81811,Buses and coaches traffic performance registered in the by transport covarage,unclustered,cross-domain or other,false,,,,
term_99e1529e4e89f9c36b6e,"Crude rate of birth, of dead and of population change",unclustered,cross-domain or other,false,,,,
term_f216ac3c2bf81bef68a4,"Current account transactions - secondary income: credits, debits and balance",unclustered,cross-domain or other,false,,,,
term_ec9454af09d7d3861fda,Employment by professional status,unclustered,cross-domain or other,false,,,,
term_5992c9ed3e19ee9f1cca,Employment by professional status - ENP-South countries,unclustered,cross-domain or other,false,,,,
term_598b44b5a3281568bbc3,Employment in Foreign Affiliates of Domestic Enterprises,unclustered,cross-domain or other,false,,,,
term_09e1aee2eae3f6f961d2,"Ever-partnered women who have experienced violence by an intimate partner, by country of birth",unclustered,cross-domain or other,false,,,,
term_233266d63f959636da6c,Exports of goods and services in % of GDP,unclustered,cross-domain or other,false,,,,
term_366e31423c1da3f1342b,GDP deflator,unclustered,cross-domain or other,false,,,,
term_0e2307e31f6b17f4428d,Gini coefficient of equivalised disposable income before social transfers (pensions excluded from social transfers),unclustered,cross-domain or other,false,,,,
term_b28f611947fbb9543e41,"Gross domestic product, volumes",unclustered,cross-domain or other,false,,,,
term_7a46a9a0691b4a23f53b,Health care expenditure - % of GDP - ENP-East countries,unclustered,cross-domain or other,false,,,,
term_e419e19674142f6f64cc,Income from intellectual property rights for computer services,unclustered,cross-domain or other,false,,,,
term_e9a99632a5e342b4b239,Interests receivable and similar income by product,unclustered,cross-domain or other,false,,,,
term_3ea65693dfee62b7d7d9,Intra-mural Business Enterprise R&D Expenditures in Foreign Controlled Enterprises,unclustered,cross-domain or other,false,,,,
term_5de95c935e54b28c5aa1,Inward FDI stocks in % of GDP,unclustered,cross-domain or other,false,,,,
term_9aec9416f35680f516f6,Laying hens population,unclustered,cross-domain or other,false,,,,
