term_id,term,baseline_cluster_id,method,evidence
term_87d243722416b23f4ead,(from onwards),cluster_f2d7baeb95d9,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_795d25e8b6c54379ddd5,", former methodology and source",cluster_df1661ca709c,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_ab3c37b577fa08ced3bc,1 year % change,cluster_9fdb5dcc7e2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1ed2f162bdb963ce207c,10 years' maturity,cluster_9fdb5dcc7e2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_b3a442d30ab2641f8068,3 years % change,cluster_9fdb5dcc7e2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a4a393bb61b7f0f6fddd,3-month rates for euro area countries - annual data,cluster_9fa9784197d1,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_2808cfa62187fc77b830,3-month rates for euro area countries - quarterly data,cluster_9fa9784197d1,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_5b4a11bda5ff152083c1,3-month-interest rate,cluster_9fa9784197d1,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f8c505b3f6f0c83553c4,5 years % change,cluster_9fdb5dcc7e2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_868bc16ff6f147794967,60+,cluster_3bf57291b2a2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_7cc56cdd57e2059af64f,= 1,cluster_1292cb5800c6,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_c6b62adcbff51d6e3318,Abortion indicators,cluster_f5e40cb5cbdd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_83bd4b19bfdc9cabd920,Access to basic services and housing,cluster_4fcc5c4383e9,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_12d00fdb10c7d1e9aac5,"Accidental injuries at work in, by sex",cluster_f1f6ee7bbbfa,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_20d6b4a1cc5307075745,Accidents in waterway transport,cluster_6361a6c18e80,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_2c16cafab319d30eed0d,Accidents involving the transport of dangerous goods,cluster_6361a6c18e80,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0f8f9cf7bf3053d8d92c,Accidents involving the transport of dangerous goods - annual data,cluster_6361a6c18e80,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_187ed41fa5539b31e8a0,Accommodation establishments,cluster_33e2ad4f485a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_7495099c6cc5f1bd9f7e,Acquisition of citizenship,cluster_2aeba3fc16ae,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d6c7c89a6a8c6a833f4e,Activity rate by sex,cluster_b9a3b7632ab8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_3787d825baa06f85e93b,Activity rates (aged 15-64) by sex,cluster_b9a3b7632ab8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_5cdd46954bb17460a674,Activity rates (aged 15-64) by sex - ENP-South countries,cluster_b9a3b7632ab8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1b53d5d34fb4a47b7fbf,Activity rates by sex and age,cluster_b9a3b7632ab8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_88ed5c725bfb8e77ac73,Activity rates by sex and age - ENP-East countries,cluster_b9a3b7632ab8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
