term_id,term,cluster_id,domain,is_representative,coherence_score,domain_label_quality,representative_quality,notes
term_5574a85a609e8966b428,Consumer price index - ENP-East countries,cluster_02d3f8dc63d3,economy and finance,false,,,,
term_558f4a8e9de234d081fa,Annual aquaculture production,cluster_0352edefd80e,"agriculture, forestry, and fisheries",true,,,,
term_f3c81f97b1bfc465084d,Enterprises employing IVT participants by NACE Rev. 1.1 activity,cluster_03aa2836eac7,cross-domain or other,true,,,,
term_434d445881139e9d2acc,Autonomous pension funds - number of enterprises by size class of investments,cluster_0582f2db495f,cross-domain or other,false,,,,
term_332d7b52f5bc6a047619,Nominal effective exchange rate - 42 trading partners,cluster_0747a3157ffb,cross-domain or other,true,,,,
term_ddb74f85113cbbf7d538,Low wage trap,cluster_0759ac914a9e,labour market,true,,,,
term_8c3f2d025d1c81cd781b,Area by age classes (area in ha),cluster_08676e4a8f67,cross-domain or other,true,,,,
term_99a7a01d09d96b6d97c9,Aquaculture production by aquatic environment - ENP-South countries,cluster_09e110c54e46,"agriculture, forestry, and fisheries",false,,,,
term_b1fb19c84fd17e2fd413,Expenditure on public educational institutions,cluster_0a4bab53e5fe,education,true,,,,
term_0bc9d7812026d642cd23,Effect of social transfers on income quintile share ratio S80/S20,cluster_0ce13d3b1531,cross-domain or other,false,,,,
term_83d34ba5d81be5a0203c,Disaggregated final energy consumption in services,cluster_0e2b5830d6ea,environment and energy,false,,,,
term_3e4f038181f7ed454b96,Severe housing deprivation rate by degree of urbanisation,cluster_159e8eefbdd9,social conditions and equality,true,,,,
term_34ee60daa9822653ce56,Regional disparities in gender employment gap (NUTS level 2),cluster_1660e8ef58bf,labour market,false,,,,
term_ec45e4873e78f8a16eaa,Correction coefficients in the European Union (Countries),cluster_1d5553d3c807,cross-domain or other,false,,,,
term_577773e63569009ae3c1,Ever-partnered women who have experienced violence by an intimate partner and consequences of violence,cluster_26a602793f11,cross-domain or other,false,,,,
term_95525ae7bd699e4792f6,"Balance of payments, capital account, monthly data",cluster_2701ee37c99e,economy and finance,true,,,,
term_318cf2b1f91f6cc6d9ec,Carrying capacity of the waterway transport enterprises vessels by number of vessels in enterprises,cluster_270f214e279a,transport,true,,,,
term_ded4bcecdf6431047f86,"Passenger cars in accompanied passenger car railway transport, by type of transport",cluster_289df6e858c2,transport,true,,,,
term_28537334be6786e5aad6,Adjusted gross disposable income of households per capita in PPS,cluster_2cdcfe259942,cross-domain or other,false,,,,
term_1c9e53a89b5c83bb5be5,"Incidence rate of accidents at work by type of workstation, NACE Rev. 1.1 activity, sex, age and severity",cluster_2f7bfa6fc9f0,cross-domain or other,false,,,,
term_8289c35fe3cdc64e2ef7,Modal shift potential of long-distance road freight in containers - tonne,cluster_310e64b58954,transport,true,,,,
term_6e80a6ca3ae0ebf52856,Expenditure on social protection by type,cluster_31ab3e80aeda,cross-domain or other,true,,,,
term_af0984d23ef28d2b621c,Mean instruction hours per employed participant in non-formal education and training by sex and NACE Rev. 1.1 activity,cluster_32f720f9876a,cross-domain or other,true,,,,
term_523720a52ca07c570e36,Gross value added - NACE Rev. 2: - current prices,cluster_382663efd084,economy and finance,true,,,,
term_922fd757dd8e2ece5c17,Gender employment gap,cluster_38c2cf02b733,cross-domain or other,true,,,,
term_6da700134830ffec559c,"Dwellings by type of ownership, type of building and occupancy status",cluster_3977913ff325,cross-domain or other,true,,,,
term_6cff7b93ed15e2a4bea7,Concentration of multinational enterprise groups by NACE Rev. 2 activity - experimental statistics,cluster_3c8958a69ca1,cross-domain or other,true,,,,
term_267c270a46e8911fbb8b,Country level - gross weight of goods handled in all ports,cluster_402f693aac9b,transport,false,,,,
term_1714c3b2c3cbe13e13e7,HICP - alcohol and tobacco,cluster_41a1eb6b7497,cross-domain or other,false,,,,
term_ab3c37b577fa08ced3bc,1 year % change,cluster_436a35bf5d70,cross-domain or other,false,,,,
term_022c701d77b0ede24b8c,Central government bond yields - annual data,cluster_4e42c02d5f8f,economy and finance,true,,,,
term_6fe55058049d803a43d8,Common bird index by type of species,cluster_506831c7dd56,cross-domain or other,true,,,,
term_7a6fd71f55032e1ecddb,General government deficit (-) and surplus (+) - annual data,cluster_51f3ee394433,economy and finance,true,,,,
term_b795e878250c8b2362f6,Early leavers from education and training (age group 18-24),cluster_52a711981335,education,true,,,,
term_7bf6771c4dcfacaaefdc,"Transition from fixed term contracts to permanent contracts (annual averages of quarterly transitions, estimated probabilities)",cluster_55cd06be7ef5,cross-domain or other,true,,,,
term_25dfc9a775b5e4f96d8e,Children (aged less than 18) living in households with very low work intensity by sex,cluster_57d783574951,cross-domain or other,false,,,,
term_fb2d1f9e0c3937daf87d,Persons having experienced housing difficulties in their lifetime by sex and current risk of poverty or social exclusion situation,cluster_59763e3620a2,social conditions and equality,true,,,,
term_f25b3958d6da1017e631,Production in construction,cluster_5a46eeb7941a,"industry, trade, and services",false,,,,
term_277ea351a609019a0057,Maritime equipment - carrying capacity of ships of 300 grt and over,cluster_5bc1e79b4d8e,transport,true,,,,
term_a4a393bb61b7f0f6fddd,3-month rates for euro area countries - annual data,cluster_5e21120cf38d,cross-domain or other,true,,,,
term_c60e08a1e1511fdf6647,"Occupied conventional dwellings by households, by number of rooms",cluster_611d0ec584bd,cross-domain or other,true,,,,
term_fd70526d3834f9d7dd74,Graduates at doctoral level by sex and age groups,cluster_6160d38cdb3c,education,false,,,,
term_5c1b156bf1e3cc20b804,"Net external debt - annual data, % of GDP",cluster_63c7d78ba20c,economy and finance,true,,,,
term_793fe685236958908e80,Median saving rate by activity status of the reference person - experimental statistics,cluster_646426592cd5,cross-domain or other,false,,,,
term_dd4bcc28b5c739ed0425,Labour cost index by NACE Rev. 1.1 activity,cluster_6527f3931914,labour market,true,,,,
term_67f5c83397e51923fcc4,Employed persons being able to choose their methods of work or to influence their pace of work by sex and age,cluster_6553295ddcce,labour market,false,,,,
term_2ce044fadc1e119e1dfd,Relative incidence rate of accidental injuries at work by occupation and NACE Rev. 1.1 activity (EU mean rate = 100),cluster_691102c28629,cross-domain or other,true,,,,
term_f1a2d6019fafb3ba82b6,"Employees, domestic concept",cluster_6acbb1a3dc10,labour market,false,,,,
term_7461bb9f764b8499648f,Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,cluster_71139f449ed0,labour market,false,,,,
term_e1e2ce8193b048a77909,Frequency of internet use by individuals (aged 16-74),cluster_72b5baeeb545,cross-domain or other,false,,,,
term_51056e69448504b7b8e1,Participation in tourism for personal purposes,cluster_743c0cdf1e67,cross-domain or other,true,,,,
term_13cfd2714c43333b9dda,Road equipment: new registrations by categories,cluster_77cfcaef7340,transport,true,,,,
term_0ed887860624a22acc75,"Motor coaches, buses and trolley buses by type of motor energy",cluster_78847807586a,transport,true,,,,
term_1529764711dbbdad5438,Unemployment by sex - age group 15-24,cluster_7e52ceb61de3,labour market,true,,,,
term_edff8f8bfb38b7801aef,Goods and passenger train traffic performance,cluster_8044641de153,transport,true,,,,
term_92b91f771b0db5678362,"Non-financial corporations debt, consolidated",cluster_80edd39ddbff,economy and finance,false,,,,
term_543b10fb1c9360c91cbc,"Load capacity of new lorries, semi-trailers and trailers, by type of carriage",cluster_82f2477ea670,transport,true,,,,
term_e0e05da5e93e3480beae,"Classroom teachers working full-time and part-time in primary, lower-secondary and upper-secondary education",cluster_84a10ec4eb87,education,true,,,,
term_1b53d5d34fb4a47b7fbf,Activity rates by sex and age,cluster_8575abfc531e,labour market,false,,,,
term_fa38f209e4b8c386f58c,Unitisation in maritime freight transport,cluster_8b67229c419c,transport,false,,,,
term_de1275695e85a9ad231b,Gross value added - NACE Rev. 2: - volumes,cluster_8c34ad3e7776,economy and finance,true,,,,
term_6c84974c395222350650,Arrivals at tourism accommodation establishments by type of accommodation,cluster_8d435b9b59e3,cross-domain or other,true,,,,
term_a8781b86da3b752f69bd,Goods transport by rail,cluster_91bfa6a0585d,transport,true,,,,
term_d2e804e762d250d07c7c,Air passenger transport - ENP-South countries,cluster_92331cbf6376,transport,true,,,,
term_fc793457dd913d38f95a,Consultation of a dentist per inhabitant,cluster_9391f8d593af,health,true,,,,
term_20d6b4a1cc5307075745,Accidents in waterway transport,cluster_94cf800a89a5,transport,false,,,,
term_efda1f608f03541e6db5,Turnover by client specialisation and NACE Rev.1 at 3-digit level,cluster_99358c580dcf,cross-domain or other,true,,,,
term_835ff22574abe600d47f,Average number of weekly hours of formal care by age group - children with at least 1 hour of formal care,cluster_99cbd02aba19,cross-domain or other,false,,,,
term_f87cb89fb88a52ac5d2b,Fish catches,cluster_9f5217e9767f,"agriculture, forestry, and fisheries",true,,,,
term_f65f33a6c63ce4b5772f,At-risk of poverty rate of unemployed persons,cluster_a2410520c67e,social conditions and equality,false,,,,
term_eacb2216fe4997adf92e,Consumer price index,cluster_a38a8b30707d,cross-domain or other,false,,,,
term_aeaee419e62acf4048d5,Meat production,cluster_a3b8c17adb8d,"agriculture, forestry, and fisheries",true,,,,
term_97703f03037e91aa6b96,Infant mortality rate by sex,cluster_a3e6b7dd0c97,cross-domain or other,true,,,,
term_9a39fc3791a919f5cdb9,"Population having neither a bath, nor a shower, nor indoor flushing toilet in their household by poverty status",cluster_a5a98bb0273a,cross-domain or other,true,,,,
term_e012724b204aae25aa07,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L",cluster_aedee37960c7,cross-domain or other,false,,,,
term_9f55fe8d95776762c3e3,Gross domestic product at market prices - ENP-East countries,cluster_af2e9bf49901,economy and finance,true,,,,
term_ea3b453c86ce5e2ea1c8,Self-reported unmet need for medical care by sex,cluster_b032d77c2fcd,health,true,,,,
term_b1125f8545359c90d1a5,"Financial sector leverage, debt to equity, non-consolidated",cluster_b70da2ec1a1f,economy and finance,true,,,,
term_204ec61b0e7f2d212ffe,"Pupils aged 3 years old, by sex",cluster_b79ec27e90f4,education,false,,,,
term_5220f3f435976112ea7a,Healthy life years,cluster_b93f4637d15d,health,true,,,,
term_ba93f11393d1564c6442,Exports of goods - chemicals and related products,cluster_bad644408bd5,"industry, trade, and services",true,,,,
term_ace3cc8f02505621e0ce,Composition of municipal waste,cluster_be0cf76c9432,environment and energy,false,,,,
term_a9de94cae9218e50d61e,Age at which the person first received an old-age pension,cluster_bebc90f97beb,cross-domain or other,true,,,,
term_1c1e332b6a96484d79ba,Length of rail lines,cluster_c568f35db6aa,transport,true,,,,
term_115b5c9878c65bea4f1e,Housing cost overburden rate,cluster_c5d9733c3b80,cross-domain or other,false,,,,
term_8d1eed4bf9192cca8176,Gender pay gap in unadjusted form by age and NACE Rev. 2 activity (B-S except O),cluster_c8d379cc59d5,cross-domain or other,false,,,,
term_12d00fdb10c7d1e9aac5,"Accidental injuries at work in, by sex",cluster_c90d30383005,health,false,,,,
term_754afe6bac35caf6bc0a,Distribution of households by activity status of the reference person - experimental statistics,cluster_c9e942ef5068,population and demography,true,,,,
term_7998ea87da8d023f74c9,Retail trade turnover - automotive fuel,cluster_cd4c0349655e,"industry, trade, and services",false,,,,
term_3787d825baa06f85e93b,Activity rates (aged 15-64) by sex,cluster_cedc536daf97,cross-domain or other,true,,,,
term_419e3bdd9a1ef9cc197e,Carrying capacity of merchant ships of 1000 GT and over by vessel type,cluster_d07adfd7a4c5,transport,true,,,,
term_1e44a9cf2afda0f39366,Country level - passengers embarked and disembarked in all ports,cluster_d0b90b2f986d,transport,true,,,,
term_3c6db2dfbfb5d56d21f8,Selling prices of barley,cluster_d1e893e7c222,cross-domain or other,true,,,,
term_d2d3af7f0ef9a3518fdb,Direct investment,cluster_de826995d586,economy and finance,false,,,,
term_fdb72b29c0a30b0bf764,Enterprises by means of services supply and NACE rev.2 activity aggregate - experimental statistics,cluster_df0fe12905a6,"industry, trade, and services",false,,,,
term_0b214cfd73ab25abb7b2,Air passenger transport,cluster_e0341004108a,transport,false,,,,
term_33f5c33aed2758da24ce,Collection of cow's milk,cluster_e22df4ed8343,"agriculture, forestry, and fisheries",true,,,,
term_26408b77200929d0bb01,Animal output - basic and producer prices,cluster_e4311ca029ec,cross-domain or other,true,,,,
term_04ae907e00171384aa10,Loans (excluding mortgages on purchase of main residence) by risk of poverty threshold,cluster_e7cd57a20c07,social conditions and equality,false,,,,
term_df1e5c7ae546edb87aaf,Applicants having benefited from material reception conditions at the end of the reference year - annual data,cluster_e7d0c36b4e48,cross-domain or other,false,,,,
term_5b25b68cdd609b3ed5df,Number of railway vehicles per type,cluster_eaa8378cfbeb,transport,false,,,,
term_3e69ae651db583624d1b,Aggregate propensity to consume by activity status of the reference person - experimental statistics,cluster_ecc0c674f17b,cross-domain or other,false,,,,
term_08b5c5530412b562c45b,"Current account transactions - credits, debits and balance",cluster_ef414b4a7cf9,economy and finance,true,,,,
term_67cd23748b5cdfb364ff,Hours spent in CVT courses by NACE Rev. 1.1 activity - per participant,cluster_ef99b3288aea,cross-domain or other,false,,,,
term_fcc7e728e74e3059ea93,Participation in any learning activities by degree of urbanisation,cluster_f3ddaa120037,education,false,,,,
term_b82538563afbccd385b6,"Barley by area, production and humidity",cluster_f49b94d07c25,"agriculture, forestry, and fisheries",true,,,,
term_d7cdb5925f069c0cd31c,Median of the housing cost burden distribution by age group,cluster_f68e409fa22a,cross-domain or other,true,,,,
term_665ee8cd3dd6f54dfa3e,First permits by reason,cluster_f69633b62b6a,cross-domain or other,true,,,,
term_97d26f2927391b8f68d9,EU27 (from),cluster_fbcb7007a26d,cross-domain or other,false,,,,
