term_id,term,cluster_id,domain,is_representative,coherence_score,domain_label_quality,representative_quality,notes
term_b42b72d1ef59e78b9232,House sales,cluster_02d3f8dc63d3,cross-domain or other,false,,,,
term_57896bda73fe719211f7,Low-wage earners as a proportion of all employees (excluding apprentices) by employment contract,cluster_0352edefd80e,labour market,false,,,,
term_ce8618d299ade63bd105,Deaths and crude,cluster_03aa2836eac7,cross-domain or other,true,,,,
term_44182a54b9802a05ffb2,Number of enterprises carrying out cross trade by employment size class,cluster_0582f2db495f,cross-domain or other,false,,,,
term_81cc282a753dba008375,Mean age of women at childbirth and,cluster_0747a3157ffb,population and demography,true,,,,
term_65191613d641c710df5b,Expenditure on rolling,cluster_0759ac914a9e,economy and finance,true,,,,
term_336270b69f2d18677f52,National expenditure,cluster_075cd42f81b2,economy and finance,true,,,,
term_2f5938edafc45e28963b,Employment rate by,cluster_08502ea2eb71,labour market,true,,,,
term_ff95d02ba7eef7d87692,Crimes recorded,cluster_08676e4a8f67,"government, justice, and public administration",true,,,,
term_b329d64173d923defd59,Unemployment rates (persons aged 25-64,cluster_08af5abf1814,labour market,true,,,,
term_fa38f209e4b8c386f58c,Unitisation in maritime freight transport,cluster_09e110c54e46,transport,true,,,,
term_6065d4f8545e2fd54fdf,Production in industry,cluster_0a2a381d026e,"industry, trade, and services",true,,,,
term_03f6cea24e5477ac14c6,"Grain maize and corn-cob-mix by area, production",cluster_0a4bab53e5fe,"agriculture, forestry, and fisheries",true,,,,
term_7f9537ecc058b673caf6,Employment and employment rates (aged 20-64,cluster_0a68ba714726,labour market,true,,,,
term_28770f63a072a2ce69c9,Usually resident population,cluster_0ce13d3b1531,population and demography,true,,,,
term_0427cae84208e9b7b3a1,Ratio of annual expenditure,cluster_0dce0ace18af,cross-domain or other,false,,,,
term_5aa8c2375b016a280a45,Net international investment position excluding non-defaultable instruments - % of GDP,cluster_0e2b5830d6ea,economy and finance,true,,,,
term_d93185be6e5c5aefc072,and upper-secondary education - as % of total active population,cluster_0f1c22e2218c,education,true,,,,
term_79cf1af0cc470e9c9402,Public expenditure on education - ENP-East,cluster_155273c8a8b2,education,true,,,,
term_e793402dfc11a01d1463,Relative median income ratio (65,cluster_159e8eefbdd9,cross-domain or other,false,,,,
term_f92aa0607c2b5c538059,1 activity and employment,cluster_15e007abd64e,labour market,true,,,,
term_bab700585f697347885e,Population density by,cluster_1660e8ef58bf,population and demography,false,,,,
term_2dc6e69bd11b37181086,Research and development expenditure by,cluster_192b46a21e33,economy and finance,true,,,,
term_d675150861a7520caaf3,Healthy life years at birth,cluster_1d5553d3c807,population and demography,false,,,,
term_ee9ccd055475c4cdd9a5,Final consumption expenditure of households and non-profit,cluster_1d7db30a3ac2,cross-domain or other,true,,,,
term_11e189bb87a0f042156d,Causes of death - potential,cluster_1e834edad21d,cross-domain or other,false,,,,
term_39b59e6b87b11a8f5757,"Government final consumption expenditure, current",cluster_202846d5e8d8,economy and finance,false,,,,
term_2cc131ee8447129834c4,Final consumption expenditure of,cluster_207798dcda3e,cross-domain or other,true,,,,
term_5b8c123a91a68022d492,Final consumption expenditure of general,cluster_2670e55ec9b5,cross-domain or other,false,,,,
term_f305973d645117b92dee,Agricultural land prices,cluster_26a602793f11,cross-domain or other,false,,,,
term_5248b5345b4ee2ed3542,major mineral wastes per GDP,cluster_2701ee37c99e,cross-domain or other,true,,,,
term_95255d0bb2750decf162,Business Enterprise R&D Expenditures,cluster_270f214e279a,cross-domain or other,false,,,,
term_617f5c8256ea90658138,House price index (= 100,cluster_276f75e3f0e2,economy and finance,false,,,,
term_c7ee91110d164407d42e,Gender employment gap by,cluster_27f94e5b2684,labour market,false,,,,
term_99ce89726710b8fb5fe1,Employment rate of non-EU,cluster_2813f4256f39,labour market,true,,,,
term_0502a6d764eb382c65e2,level by sex - % of the population,cluster_2852e0dd9111,population and demography,true,,,,
term_0fcf4e988e3ce59aa8b1,Out-of-school rate by sex and age - as % of the population of the corresponding age,cluster_289aef8e0d57,cross-domain or other,false,,,,
term_19ff751a283b416ffdf9,"Relative poverty threshold after social transfers, income",cluster_289df6e858c2,social conditions and equality,false,,,,
term_c4b71bc9e0fa01456a18,Distribution of population,cluster_28f91c768f13,population and demography,false,,,,
term_961f12e70da8313957ee,"Barley by area, production",cluster_2cdcfe259942,cross-domain or other,false,,,,
term_81d71c36ce39beb87a6b,Students in post-compulsory education - as % of the total population of post-compulsory school age,cluster_2d42866bc03d,education,false,,,,
term_6665672e751ad07cbe62,GDP weights,cluster_2f7bfa6fc9f0,economy and finance,false,,,,
term_e7a2958d11a756727f0e,"Production, value",cluster_30dc67e7114e,cross-domain or other,false,,,,
term_838f137d8683d30b4b27,"Rye and winter cereal mixtures by area, production",cluster_310e64b58954,"agriculture, forestry, and fisheries",false,,,,
term_d040dbe16eb0f1ee303b,Turnover by client specialisation and employment,cluster_31ab3e80aeda,cross-domain or other,false,,,,
term_bddb535218bdd2ecee0c,Children cared only by their parents by age group - % over the population of each age group,cluster_32f720f9876a,population and demography,false,,,,
term_dd80b78a08d53b8c1fc6,Youth unemployment rate - % of,cluster_35159b70d91c,labour market,true,,,,
term_f67b395b3ad9ec756a3d,by sex - % of the population,cluster_35e5ab280657,population and demography,true,,,,
term_28e55f39f3d283f69f27,Selling prices of fresh,cluster_382663efd084,economy and finance,true,,,,
term_4488ca5afb07ac37c070,Selling prices of sugar,cluster_38c2cf02b733,cross-domain or other,false,,,,
term_8bbae4c89b5409a0a045,Young persons neither in employment,cluster_3977913ff325,labour market,false,,,,
term_07de82fa5f074fdb8062,Gross value added in environmental,cluster_39a5456fd0d7,environment and energy,false,,,,
term_3af505742b8264ff30b3,Share of people living in under-occupied dwellings by tenure status - total population,cluster_3ab189a86dd8,population and demography,false,,,,
term_24916e7dbdf0a43895a0,Domestic producer prices - capital,cluster_3c026b5a4bcb,economy and finance,true,,,,
term_115cd081bf014f5f1d4b,Population aged 15-74,cluster_3c5a37d81f52,population and demography,true,,,,
term_f7373141e70e62bc181d,Median age of residents by sex and country of birth,cluster_3c8958a69ca1,population and demography,false,,,,
term_0b57a1040962af942687,Death due to diseases,cluster_3cf89abb762f,health,true,,,,
term_7e1eb8d0a6ee6d7f315b,Overcrowding rate by age group - population,cluster_3cfce5b27973,population and demography,false,,,,
term_eb6cd7da4972ac3d2937,1000 of corresponding age population,cluster_3d100a330f81,population and demography,false,,,,
term_2a9aadf1b728e35c5c59,Median relative income of elderly people (60,cluster_402f693aac9b,cross-domain or other,false,,,,
term_dda2cb1d2450d61ad67f,Population reporting,cluster_41a1eb6b7497,cross-domain or other,false,,,,
term_d3e9231fa5288ba36887,Long-term unemployment rate by sex,cluster_42ee3dc7abc6,labour market,false,,,,
term_37bafe12d31146c9b4af,At risk-of-poverty rate for the population,cluster_4309886995de,cross-domain or other,true,,,,
term_17a8852bc5cd6995e13c,Vaccination against influenza of population,cluster_436a35bf5d70,cross-domain or other,false,,,,
term_79ff7ac0ec8710efabc9,Mean consumption expenditure of private,cluster_44adf70087c0,economy and finance,true,,,,
term_06536802769bc978a649,Net trade balance of energy products - % of GDP,cluster_4e42c02d5f8f,cross-domain or other,true,,,,
term_add98e3b18d4af450dac,Production forecasts,cluster_506831c7dd56,cross-domain or other,true,,,,
term_8fe3dda6b4e2c4ae6057,Gross debt-to-income,cluster_51f3ee394433,economy and finance,false,,,,
term_d642b0d05751e9980989,15-24) neither in employment,cluster_52a711981335,labour market,false,,,,
