term_id,term,cluster_id,domain,membership_probability,is_representative,labeling_method,evidence
term_f92aa0607c2b5c538059,1 activity and employment,cluster_15e007abd64e,labour market,1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6790877284174742, ""economy and finance"": 0.7015241122992016, ""environment and energy"": 0.6757921987770852, ""industry, trade, and services"": 0.7310639385211554, ""labour market"": 0.7643449314420573}, ""source"": ""hdbscan_pearl_small""}"
term_ae1f4ef44ee128d00b40,1 activity and employment status,cluster_15e007abd64e,labour market,1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6790877284174742, ""economy and finance"": 0.7015241122992016, ""environment and energy"": 0.6757921987770852, ""industry, trade, and services"": 0.7310639385211554, ""labour market"": 0.7643449314420573}, ""source"": ""hdbscan_pearl_small""}"
term_290bbaa73df30999a339,1.1 activity and employment,cluster_15e007abd64e,labour market,1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6790877284174742, ""economy and finance"": 0.7015241122992016, ""environment and energy"": 0.6757921987770852, ""industry, trade, and services"": 0.7310639385211554, ""labour market"": 0.7643449314420573}, ""source"": ""hdbscan_pearl_small""}"
term_0e86b7dc373a37bc4ce4,1.1 activity and employment status,cluster_15e007abd64e,labour market,1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6790877284174742, ""economy and finance"": 0.7015241122992016, ""environment and energy"": 0.6757921987770852, ""industry, trade, and services"": 0.7310639385211554, ""labour market"": 0.7643449314420573}, ""source"": ""hdbscan_pearl_small""}"
term_eb6cd7da4972ac3d2937,1000 of corresponding age population,cluster_3d100a330f81,population and demography,0.636359,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""health"": 0.6469628147459, ""labour market"": 0.6543936075929552, ""population and demography"": 0.7503213409394018, ""regional and urban statistics"": 0.6415447781784462, ""social conditions and equality"": 0.6570963076161219}, ""source"": ""hdbscan_pearl_small""}"
term_d642b0d05751e9980989,15-24) neither in employment,cluster_52a711981335,labour market,0.566545,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""education"": 0.6033345415038716, ""labour market"": 0.6539146787276123, ""population and demography"": 0.577988409650626, ""social conditions and equality"": 0.5936281386527679, ""transport"": 0.5760766557906831}, ""source"": ""hdbscan_pearl_small""}"
term_b5d9f16b16f448136985,2 region - % of the population,cluster_d07adfd7a4c5,cross-domain or other,1.000000,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5990801420590366, ""health"": 0.6220641702055275, ""labour market"": 0.6267038138600765, ""population and demography"": 0.6552022219540181, ""regional and urban statistics"": 0.6754236149631184}, ""source"": ""hdbscan_pearl_small""}"
term_1d8de4686876a5ad8cdd,2 region - % of the population of,cluster_d07adfd7a4c5,cross-domain or other,1.000000,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5990801420590366, ""health"": 0.6220641702055275, ""labour market"": 0.6267038138600765, ""population and demography"": 0.6552022219540181, ""regional and urban statistics"": 0.6754236149631184}, ""source"": ""hdbscan_pearl_small""}"
term_60c705d91a6a7e292a1f,2 region - % of the population of the,cluster_d07adfd7a4c5,cross-domain or other,1.000000,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5990801420590366, ""health"": 0.6220641702055275, ""labour market"": 0.6267038138600765, ""population and demography"": 0.6552022219540181, ""regional and urban statistics"": 0.6754236149631184}, ""source"": ""hdbscan_pearl_small""}"
term_1ec4e9a4cce0e2bd4b55,2 region - % of the population of the corresponding,cluster_d07adfd7a4c5,cross-domain or other,1.000000,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5990801420590366, ""health"": 0.6220641702055275, ""labour market"": 0.6267038138600765, ""population and demography"": 0.6552022219540181, ""regional and urban statistics"": 0.6754236149631184}, ""source"": ""hdbscan_pearl_small""}"
term_0a182caf0f168cf04942,3 by sex - as % of the population,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_50864d39aee50e16110c,3 by sex - as % of the population of,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_0f2b3dc72dbfb9df4051,40 % of the population,cluster_c0cda91560e7,cross-domain or other,0.667734,false,embedding_threshold_fallback,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""economy and finance"": 0.6153022438076485, ""health"": 0.5896593750209331, ""labour market"": 0.6568074420574785, ""population and demography"": 0.616439391044778, ""social conditions and equality"": 0.6588929388770787}, ""source"": ""hdbscan_pearl_small""}"
term_f5213a127a8488a1ed73,"a domestic perpetrator, by country of birth",cluster_646426592cd5,population and demography,1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""education"": 0.597575625974686, ""labour market"": 0.6170168668783501, ""population and demography"": 0.6554451660853761, ""social conditions and equality"": 0.5923951920221175, ""transport"": 0.6056638659128057}, ""source"": ""hdbscan_pearl_small""}"
term_eda8ed1ce0eba77846ef,"a non-partner, by country of birth",cluster_df0fe12905a6,population and demography,1.000000,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""economy and finance"": 0.596300193803336, ""education"": 0.5896850262283777, ""labour market"": 0.6150364937345002, ""population and demography"": 0.6591002158239766, ""social conditions and equality"": 0.59403073227329}, ""source"": ""hdbscan_pearl_small""}"
term_1841dde785c10e5eeb3d,A of the income from agricultural,cluster_57d783574951,cross-domain or other,1.000000,true,embedding_threshold_fallback,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.7207645929785252, ""economy and finance"": 0.7162408328930623, ""industry, trade, and services"": 0.6494745717287084, ""labour market"": 0.6831394198384628, ""population and demography"": 0.6134204804198397}, ""source"": ""hdbscan_pearl_small""}"
term_84ba59b6c245c2358047,A of the income from agricultural activity,cluster_57d783574951,cross-domain or other,1.000000,true,embedding_threshold_fallback,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.7207645929785252, ""economy and finance"": 0.7162408328930623, ""industry, trade, and services"": 0.6494745717287084, ""labour market"": 0.6831394198384628, ""population and demography"": 0.6134204804198397}, ""source"": ""hdbscan_pearl_small""}"
term_8edcbec9396e6e38b16d,a share of GDP,cluster_7e52ceb61de3,economy and finance,1.000000,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""economy and finance"": 0.6991132731283547, ""environment and energy"": 0.6056301045313587, ""industry, trade, and services"": 0.6450115228524691, ""labour market"": 0.6332675772333256, ""regional and urban statistics"": 0.5994525152919409}, ""source"": ""hdbscan_pearl_small""}"
term_20d6b4a1cc5307075745,Accidents in waterway transport,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_2c16cafab319d30eed0d,Accidents involving the transport of dangerous goods,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_0f8f9cf7bf3053d8d92c,Accidents involving the transport of dangerous goods - annual data,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_9a046e87cc205a38ebfd,account transactions - primary income,cluster_9391f8d593af,economy and finance,0.847250,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5984253177774788, ""economy and finance"": 0.746406112745474, ""environment and energy"": 0.6016813471887199, ""industry, trade, and services"": 0.6428324752523225, ""labour market"": 0.6311402983391333}, ""source"": ""hdbscan_pearl_small""}"
term_94f077008c0572a9fc12,account transactions - primary income: credits,cluster_9391f8d593af,economy and finance,0.973505,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5984253177774788, ""economy and finance"": 0.746406112745474, ""environment and energy"": 0.6016813471887199, ""industry, trade, and services"": 0.6428324752523225, ""labour market"": 0.6311402983391333}, ""source"": ""hdbscan_pearl_small""}"
term_9adac7eff36b8f5ff44b,"account transactions - primary income: credits, debits",cluster_9391f8d593af,economy and finance,1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5984253177774788, ""economy and finance"": 0.746406112745474, ""environment and energy"": 0.6016813471887199, ""industry, trade, and services"": 0.6428324752523225, ""labour market"": 0.6311402983391333}, ""source"": ""hdbscan_pearl_small""}"
term_d9bb2722982dec92e450,"account transactions - primary income: credits, debits and",cluster_9391f8d593af,economy and finance,1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5984253177774788, ""economy and finance"": 0.746406112745474, ""environment and energy"": 0.6016813471887199, ""industry, trade, and services"": 0.6428324752523225, ""labour market"": 0.6311402983391333}, ""source"": ""hdbscan_pearl_small""}"
term_33d492cb59136698a60c,"account transactions - primary income: credits, debits and balance",cluster_9391f8d593af,economy and finance,1.000000,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5984253177774788, ""economy and finance"": 0.746406112745474, ""environment and energy"": 0.6016813471887199, ""industry, trade, and services"": 0.6428324752523225, ""labour market"": 0.6311402983391333}, ""source"": ""hdbscan_pearl_small""}"
term_264c782947dc24197f74,account transactions - secondary income,cluster_9391f8d593af,economy and finance,0.853249,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5984253177774788, ""economy and finance"": 0.746406112745474, ""environment and energy"": 0.6016813471887199, ""industry, trade, and services"": 0.6428324752523225, ""labour market"": 0.6311402983391333}, ""source"": ""hdbscan_pearl_small""}"
term_536b57e8e3f59f3a910a,account transactions - secondary income: credits,cluster_9391f8d593af,economy and finance,0.865680,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5984253177774788, ""economy and finance"": 0.746406112745474, ""environment and energy"": 0.6016813471887199, ""industry, trade, and services"": 0.6428324752523225, ""labour market"": 0.6311402983391333}, ""source"": ""hdbscan_pearl_small""}"
term_fd57e72d270548a46779,"account transactions - secondary income: credits, debits",cluster_9391f8d593af,economy and finance,0.865680,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5984253177774788, ""economy and finance"": 0.746406112745474, ""environment and energy"": 0.6016813471887199, ""industry, trade, and services"": 0.6428324752523225, ""labour market"": 0.6311402983391333}, ""source"": ""hdbscan_pearl_small""}"
term_6300a00f9615304745ae,"account transactions - secondary income: credits, debits and",cluster_9391f8d593af,economy and finance,0.865680,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5984253177774788, ""economy and finance"": 0.746406112745474, ""environment and energy"": 0.6016813471887199, ""industry, trade, and services"": 0.6428324752523225, ""labour market"": 0.6311402983391333}, ""source"": ""hdbscan_pearl_small""}"
term_9f29f15171bba88877a9,"account transactions - secondary income: credits, debits and balance",cluster_9391f8d593af,economy and finance,0.865680,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.5984253177774788, ""economy and finance"": 0.746406112745474, ""environment and energy"": 0.6016813471887199, ""industry, trade, and services"": 0.6428324752523225, ""labour market"": 0.6311402983391333}, ""source"": ""hdbscan_pearl_small""}"
term_5528fa67425fcb08da82,active population,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_fa3e7d4b99802b9dfbb1,active population aged 15-24,unclustered,cross-domain or other,0.000000,false,noise_default,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {}, ""source"": ""hdbscan_pearl_small""}"
term_05e76930e9bf23af3b96,active population aged 15-74,cluster_3c5a37d81f52,population and demography,0.937575,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""education"": 0.5788362801511128, ""health"": 0.5943257394625406, ""population and demography"": 0.659754664810622, ""regional and urban statistics"": 0.5745543052380097, ""transport"": 0.5820474284578302}, ""source"": ""hdbscan_pearl_small""}"
term_6f49a45cf47e9da11f5a,activity and employment,cluster_15e007abd64e,labour market,0.749087,false,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""agriculture, forestry, and fisheries"": 0.6790877284174742, ""economy and finance"": 0.7015241122992016, ""environment and energy"": 0.6757921987770852, ""industry, trade, and services"": 0.7310639385211554, ""labour market"": 0.7643449314420573}, ""source"": ""hdbscan_pearl_small""}"
term_499c4b685a5cf652edad,adjusted GDP,cluster_77cfcaef7340,economy and finance,1.000000,true,embedding_threshold,"{""classification_run_id"": ""run_42d33d7967059d3e8f22"", ""domain_scores"": {""economy and finance"": 0.705900347193059, ""environment and energy"": 0.629908001574101, ""labour market"": 0.6617439100459783, ""population and demography"": 0.6722424510863181, ""regional and urban statistics"": 0.6297363700961892}, ""source"": ""hdbscan_pearl_small""}"
