term_id,canonical_term,category,confidence,variant,protected,evidence,occurrence_ids_json,run_id
term_87d243722416b23f4ead,(from onwards),measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_29cccaa06d21d5708875""]",run_cf189fe93ed005701355
term_795d25e8b6c54379ddd5,", former methodology and source",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_bf153b8a3d93b560533c""]",run_cf189fe93ed005701355
term_ab3c37b577fa08ced3bc,1 year % change,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_5fa1a4cb94b9039ffccb""]",run_cf189fe93ed005701355
term_1ed2f162bdb963ce207c,10 years' maturity,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_e80bd024438a9b3e1246""]",run_cf189fe93ed005701355
term_b3a442d30ab2641f8068,3 years % change,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_e148d7eedf70c8d2f45f""]",run_cf189fe93ed005701355
term_a4a393bb61b7f0f6fddd,3-month rates for euro area countries - annual data,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_b9c3629eb1f24a5668c5""]",run_cf189fe93ed005701355
term_2808cfa62187fc77b830,3-month rates for euro area countries - quarterly data,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_717417f544311c7e2700""]",run_cf189fe93ed005701355
term_5b4a11bda5ff152083c1,3-month-interest rate,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_3a9cacb66d29707d8d4b""]",run_cf189fe93ed005701355
term_f8c505b3f6f0c83553c4,5 years % change,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_592efdb2bece15d3bbbe""]",run_cf189fe93ed005701355
term_868bc16ff6f147794967,60+,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_dd1edf1fe0b4f9be25f8""]",run_cf189fe93ed005701355
term_7cc56cdd57e2059af64f,= 1,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_784a12dadb4f8b03f3ab""]",run_cf189fe93ed005701355
term_c6b62adcbff51d6e3318,Abortion indicators,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_7f86c47fe89b1ac1682d""]",run_cf189fe93ed005701355
term_83bd4b19bfdc9cabd920,Access to basic services and housing,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_22106fef2574bc8c95ee""]",run_cf189fe93ed005701355
term_12d00fdb10c7d1e9aac5,"Accidental injuries at work in, by sex",measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_8025a456a3f04a595130""]",run_cf189fe93ed005701355
term_20d6b4a1cc5307075745,Accidents in waterway transport,measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_5f8eb80b7e42c67847f1""]",run_cf189fe93ed005701355
term_2c16cafab319d30eed0d,Accidents involving the transport of dangerous goods,measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_84ff46631dc99865b39e""]",run_cf189fe93ed005701355
term_0f8f9cf7bf3053d8d92c,Accidents involving the transport of dangerous goods - annual data,measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_c24aa35c783b7a70c4e9""]",run_cf189fe93ed005701355
term_187ed41fa5539b31e8a0,Accommodation establishments,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_e8d189efa81a942a8ec3""]",run_cf189fe93ed005701355
term_7495099c6cc5f1bd9f7e,Acquisition of citizenship,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_8194039a0c7b05153a73""]",run_cf189fe93ed005701355
term_d6c7c89a6a8c6a833f4e,Activity rate by sex,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_c20dd715681f403bd58d""]",run_cf189fe93ed005701355
term_3787d825baa06f85e93b,Activity rates (aged 15-64) by sex,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_8acc28a326bb7a635f76""]",run_cf189fe93ed005701355
term_5cdd46954bb17460a674,Activity rates (aged 15-64) by sex - ENP-South countries,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_b7046a1bd79da4129e9f""]",run_cf189fe93ed005701355
term_1b53d5d34fb4a47b7fbf,Activity rates by sex and age,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_82c12ef9de64be7ac6ff""]",run_cf189fe93ed005701355
term_88ed5c725bfb8e77ac73,Activity rates by sex and age - ENP-East countries,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_2345011573fef5484ba4""]",run_cf189fe93ed005701355
term_766fd9b0b8551f7a0059,Additional indicators,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_6c058490ef8dbb9bc44c""]",run_cf189fe93ed005701355
term_28537334be6786e5aad6,Adjusted gross disposable income of households per capita in PPS,measure,0.88,local-hybrid,True,title evidence with measure lexical cue; local model skipped because gold labels are pending,"[""occ_6881f8db1e6783273eaa""]",run_cf189fe93ed005701355
term_fecd3f8e4c2245ae4fd6,Adult participation in learning by sex,measure,0.72,local-hybrid,False,title-only term treated as likely measure; local model skipped because gold labels are pending,"[""occ_f90885515ebe5152498a""]",run_cf189fe93ed005701355
