relation_id,source_term_id,source_term,target_term_id,target_term,relation_type,confidence,evidence_ids_json,evidence,generation_methods_json,run_id,is_valid_relation,correct_relation_type,gold_relation_type,false_positive_type,notes
relation_04627d6eb77a6477146f,term_d3e9231fa5288ba36887,Long-term unemployment rate by sex,term_6273fd9149de8fb6704b,Long-term unemployment rates by sex,related_to,0.961892,"[""occ_0fbb8efc6aa16476ff76"", ""occ_2a0fd9c58eb983f3d0e9"", ""occ_c82d920ac0882b08217e""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.996577, ""source_domain"": ""labour market"", ""target_domain"": ""labour market"", ""token_jaccard"": 0.666667}","[""embedding_similarity"", ""domains""]",run_1b4d6642319427ea9aa0,,,,,
relation_96fb5d93072be928ca26,term_77b20c66fbdcd209c5c4,Long-term unemployment rate by,term_bf55aa28b3d193dbf475,Long-term unemployment rates by,related_to,0.958677,"[""occ_12fa463c60696adeee7f"", ""occ_761163bb0059f0fb57fa"", ""occ_d12ab6100ca76a7d9651""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.993897, ""source_domain"": ""labour market"", ""target_domain"": ""labour market"", ""token_jaccard"": 0.6}","[""embedding_similarity"", ""domains""]",run_1b4d6642319427ea9aa0,,,,,
relation_98f91175ed65e9bd3a7f,term_5512aed5f8ceee261261,Long-term unemployment rate,term_f87577266e188ac56aa9,long-term unemployment rates,related_to,0.956055,"[""occ_3e2c3b35e0766d07b872"", ""occ_65e7c70fdede01bc1657"", ""occ_6fb953531006391647de"", ""occ_9b96b7c632ddfaa14452"", ""occ_f52179bad4aa8b392a0f""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.991712, ""source_domain"": ""labour market"", ""target_domain"": ""labour market"", ""token_jaccard"": 0.6}","[""embedding_similarity"", ""domains""]",run_1b4d6642319427ea9aa0,,,,,
relation_d0623cf6623e0565320f,term_e29ef5d63396715664c5,Unemployment rate by,term_b32cb59be4e4664a9760,Unemployment rates by,related_to,0.954751,"[""occ_02667e921f79a91429d6"", ""occ_2f84f445b185e46b741e"", ""occ_36c20b8fe480990adb0e"", ""occ_70c041ae5835a46e77cc"", ""occ_7334d947e8d46dd07ed0"", ""occ_82af3f08115820a5814f"", ""occ_8bfada6d48a7b0825789"", ""occ_9837f66297e65236d9b0"", ""occ_af57db4fd4c1e017bba1"", ""occ_bccd73854f9effdbc19f"", ""occ_c8262123661b63c6f0a7""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.990626, ""source_domain"": ""labour market"", ""target_domain"": ""labour market"", ""token_jaccard"": 0.333333}","[""embedding_similarity"", ""domains""]",run_1b4d6642319427ea9aa0,,,,,
relation_8b9ba6e70d7fa6464344,term_c90b6dfba814a36b5f66,Gross value added - NACE Rev. 2: C,term_50c1406a7075550a7b11,Gross value added - NACE Rev. 2: F,related_to,0.951594,"[""occ_09c41ef323d0afd43707"", ""occ_0cee6fbbfa1379dd1a63"", ""occ_68da636c6fcac7b52572"", ""occ_881cae96b76f3788cc69""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.987995, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.75}","[""embedding_similarity"", ""domains""]",run_1b4d6642319427ea9aa0,,,,,
relation_a4f7fca112a2a6cacc79,term_aa9dcb3b1b5e3cb0f0d6,Gross value added - NACE Rev. 2: F - current prices,term_7f231a9b7cbedf86f343,Gross value added - NACE Rev. 2: L - current prices,related_to,0.951567,"[""occ_b1117268c547fdb1d746"", ""occ_e20f0480fcbf2465054c""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.987973, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.8}","[""embedding_similarity"", ""domains""]",run_1b4d6642319427ea9aa0,,,,,
relation_5169512ba2ea44e014d7,term_50c1406a7075550a7b11,Gross value added - NACE Rev. 2: F,term_2f09479027e23b726244,Gross value added - NACE Rev. 2: L,related_to,0.950369,"[""occ_0cee6fbbfa1379dd1a63"", ""occ_881cae96b76f3788cc69"", ""occ_c86d323ad711f1906a16"", ""occ_cb4d6e8c498ac07e7a33""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.986974, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.75}","[""embedding_similarity"", ""domains""]",run_1b4d6642319427ea9aa0,,,,,
relation_046ab39656dab25dce66,term_50c1406a7075550a7b11,Gross value added - NACE Rev. 2: F,term_253a7405c57e58b764e4,Gross value added - NACE Rev. 2: M,related_to,0.950271,"[""occ_0cee6fbbfa1379dd1a63"", ""occ_2467e27c4038648aad78"", ""occ_881cae96b76f3788cc69"", ""occ_ea21a923b26e7af5d088""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.986892, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.75}","[""embedding_similarity"", ""domains""]",run_1b4d6642319427ea9aa0,,,,,
relation_d537ca37ffb3e29a2199,term_c90b6dfba814a36b5f66,Gross value added - NACE Rev. 2: C,term_253a7405c57e58b764e4,Gross value added - NACE Rev. 2: M,related_to,0.950164,"[""occ_09c41ef323d0afd43707"", ""occ_2467e27c4038648aad78"", ""occ_68da636c6fcac7b52572"", ""occ_ea21a923b26e7af5d088""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.986803, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.75}","[""embedding_similarity"", ""domains""]",run_1b4d6642319427ea9aa0,,,,,
relation_1f4f25b23ccff050b6e1,term_50c1406a7075550a7b11,Gross value added - NACE Rev. 2: F,term_a87228af237fab740ba6,Gross value added - NACE Rev. 2: J,related_to,0.949718,"[""occ_0cee6fbbfa1379dd1a63"", ""occ_2a0908ff91f5fdde77d8"", ""occ_881cae96b76f3788cc69"", ""occ_9a1dab3cd304fa05e914""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.986431, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.75}","[""embedding_similarity"", ""domains""]",run_1b4d6642319427ea9aa0,,,,,
