relation_id,source_term_id,source_term,target_term_id,target_term,relation_type,confidence,evidence_ids_json,evidence,generation_methods_json,run_id
relation_04627d6eb77a6477146f,term_d3e9231fa5288ba36887,Long-term unemployment rate by sex,term_6273fd9149de8fb6704b,Long-term unemployment rates by sex,related_to,0.961892,"[""occ_0fbb8efc6aa16476ff76"", ""occ_2a0fd9c58eb983f3d0e9"", ""occ_c82d920ac0882b08217e""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.996577, ""source_domain"": ""labour market"", ""target_domain"": ""labour market"", ""token_jaccard"": 0.666667}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_a4f7fca112a2a6cacc79,term_aa9dcb3b1b5e3cb0f0d6,Gross value added - NACE Rev. 2: F - current prices,term_7f231a9b7cbedf86f343,Gross value added - NACE Rev. 2: L - current prices,related_to,0.951567,"[""occ_b1117268c547fdb1d746"", ""occ_e20f0480fcbf2465054c""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.987973, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.8}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_c20be4647a5ca89b4568,term_8cddf207ccad91a60de9,Gross value added - NACE Rev. 2: C - current prices,term_aa9dcb3b1b5e3cb0f0d6,Gross value added - NACE Rev. 2: F - current prices,related_to,0.948778,"[""occ_b1117268c547fdb1d746"", ""occ_d9af56e7807b701289d1""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.985648, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.8}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_53d7906621c03accc2f0,term_aa9dcb3b1b5e3cb0f0d6,Gross value added - NACE Rev. 2: F - current prices,term_120e767f33d49114efb9,Gross value added - NACE Rev. 2: J - current prices,related_to,0.948052,"[""occ_b1117268c547fdb1d746"", ""occ_f900942e94cef6d0f0fb""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.985044, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.8}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_f086906490768f229b5d,term_aa9dcb3b1b5e3cb0f0d6,Gross value added - NACE Rev. 2: F - current prices,term_6b43fbddf11cc0d86ec7,Gross value added - NACE Rev. 2: M_N - current prices,related_to,0.948031,"[""occ_b1117268c547fdb1d746"", ""occ_d206a9b91c5018cccb87""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.985026, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.727273}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_da89c1906446f572afd0,term_9a6b6617fb90a759d2c1,"Pupils aged 3 years old, by sex - as % of the population of the corresponding age group",term_15bfeaad968154afb48f,Pupils under the age of 3 by sex - as % of the population of the corresponding age,related_to,0.947602,"[""occ_2cf706e76baba38cb61a"", ""occ_69bb3866adb028db3433""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.984668, ""source_domain"": ""education"", ""target_domain"": ""education"", ""token_jaccard"": 0.583333}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_f93f46df36b8f0bf8d01,term_120e767f33d49114efb9,Gross value added - NACE Rev. 2: J - current prices,term_7f231a9b7cbedf86f343,Gross value added - NACE Rev. 2: L - current prices,related_to,0.946853,"[""occ_e20f0480fcbf2465054c"", ""occ_f900942e94cef6d0f0fb""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.984044, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.8}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_eadeb99266efd89188b5,term_120e767f33d49114efb9,Gross value added - NACE Rev. 2: J - current prices,term_6b43fbddf11cc0d86ec7,Gross value added - NACE Rev. 2: M_N - current prices,related_to,0.946124,"[""occ_d206a9b91c5018cccb87"", ""occ_f900942e94cef6d0f0fb""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.983436, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.727273}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_8568a55c32d336694309,term_8cddf207ccad91a60de9,Gross value added - NACE Rev. 2: C - current prices,term_120e767f33d49114efb9,Gross value added - NACE Rev. 2: J - current prices,related_to,0.945450,"[""occ_d9af56e7807b701289d1"", ""occ_f900942e94cef6d0f0fb""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.982875, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.8}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_181c760ea9de48574028,term_7f231a9b7cbedf86f343,Gross value added - NACE Rev. 2: L - current prices,term_6b43fbddf11cc0d86ec7,Gross value added - NACE Rev. 2: M_N - current prices,related_to,0.945322,"[""occ_d206a9b91c5018cccb87"", ""occ_e20f0480fcbf2465054c""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.982769, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.727273}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_a43c370f6f912026566f,term_8cddf207ccad91a60de9,Gross value added - NACE Rev. 2: C - current prices,term_6b43fbddf11cc0d86ec7,Gross value added - NACE Rev. 2: M_N - current prices,related_to,0.944686,"[""occ_d206a9b91c5018cccb87"", ""occ_d9af56e7807b701289d1""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.982239, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.727273}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_0d388c34293ddf7c8a92,term_8cddf207ccad91a60de9,Gross value added - NACE Rev. 2: C - current prices,term_7f231a9b7cbedf86f343,Gross value added - NACE Rev. 2: L - current prices,related_to,0.944054,"[""occ_d9af56e7807b701289d1"", ""occ_e20f0480fcbf2465054c""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.981711, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.8}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_c53d6ebc54627a18c9b8,term_e627eb2b6cef0cf15347,Gross value added - NACE Rev. 2: B-E - current prices,term_aa9dcb3b1b5e3cb0f0d6,Gross value added - NACE Rev. 2: F - current prices,related_to,0.942901,"[""occ_7304097929e43d5dfb37"", ""occ_b1117268c547fdb1d746""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.980751, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.727273}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_5cec5e7fa58135fde539,term_e627eb2b6cef0cf15347,Gross value added - NACE Rev. 2: B-E - current prices,term_7f231a9b7cbedf86f343,Gross value added - NACE Rev. 2: L - current prices,related_to,0.941968,"[""occ_7304097929e43d5dfb37"", ""occ_e20f0480fcbf2465054c""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.979974, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.727273}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_9a1d63fc869a9b4de398,term_e627eb2b6cef0cf15347,Gross value added - NACE Rev. 2: B-E - current prices,term_8cddf207ccad91a60de9,Gross value added - NACE Rev. 2: C - current prices,related_to,0.941088,"[""occ_7304097929e43d5dfb37"", ""occ_d9af56e7807b701289d1""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.97924, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.727273}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_b0b95a897aa8b7418a83,term_bca0c3b7c19ae02f790f,Gross value added - NACE Rev. 2: F - volumes,term_6a4b2ac0d5193a131324,Gross value added - NACE Rev. 2: M_N - volumes,related_to,0.941024,"[""occ_47412dda18d8326bd892"", ""occ_9d21b61dcdc11cd5bff4""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.979186, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.7}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_d2b5d44a0b3e6ae126b0,term_f9712695721fec6734d3,Gross value added - NACE Rev. 2: J - volumes,term_6a4b2ac0d5193a131324,Gross value added - NACE Rev. 2: M_N - volumes,related_to,0.940891,"[""occ_47412dda18d8326bd892"", ""occ_fd2a7a5798c2ad8aab89""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.979076, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.7}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_828c7f98f07e7171d398,term_aa9dcb3b1b5e3cb0f0d6,Gross value added - NACE Rev. 2: F - current prices,term_45e5d4ea6d3cfabd1255,Gross value added - NACE Rev. 2: O-Q - current prices,related_to,0.940807,"[""occ_b1117268c547fdb1d746"", ""occ_cb457eebbd911c693afe""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.979006, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.727273}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_1cc6bddec3a6cb9cc57e,term_43b3e9a5541c91515e12,Gross value added - NACE Rev. 2: C - volumes,term_6a4b2ac0d5193a131324,Gross value added - NACE Rev. 2: M_N - volumes,related_to,0.939867,"[""occ_423ab5dd4e8d9dbb7aea"", ""occ_47412dda18d8326bd892""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.978222, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.7}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_a5d3556da2dd290ad1b8,term_43b3e9a5541c91515e12,Gross value added - NACE Rev. 2: C - volumes,term_bca0c3b7c19ae02f790f,Gross value added - NACE Rev. 2: F - volumes,related_to,0.939243,"[""occ_423ab5dd4e8d9dbb7aea"", ""occ_9d21b61dcdc11cd5bff4""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.977703, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.777778}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_e0fa755c0aec7a5ae028,term_bca0c3b7c19ae02f790f,Gross value added - NACE Rev. 2: F - volumes,term_f9712695721fec6734d3,Gross value added - NACE Rev. 2: J - volumes,related_to,0.938943,"[""occ_9d21b61dcdc11cd5bff4"", ""occ_fd2a7a5798c2ad8aab89""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.977453, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.777778}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_015a01edc899c5aee9f3,term_77db762d503f8c2112f8,Gross weight of dry bulk goods transported in short sea shipping from/to the top 5 EU ports for dry bulk goods,term_e6cd08c5e530a7d55c17,Gross weight of liquid bulk goods transported in short sea shipping from/to the top 5 EU ports for liquid bulk goods,related_to,0.938882,"[""occ_36c6932bfade4795568d"", ""occ_7cba52314f2e8ba1ebc1""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.977402, ""source_domain"": ""transport"", ""target_domain"": ""transport"", ""token_jaccard"": 0.866667}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_50077df10a48aae95696,term_bca0c3b7c19ae02f790f,Gross value added - NACE Rev. 2: F - volumes,term_8d79218e8970c663f49b,Gross value added - NACE Rev. 2: L - volumes,related_to,0.938461,"[""occ_328b6228bc8a75e8b4b9"", ""occ_9d21b61dcdc11cd5bff4""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.977051, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.777778}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_8af01c52fe8cfebd5109,term_43b3e9a5541c91515e12,Gross value added - NACE Rev. 2: C - volumes,term_f9712695721fec6734d3,Gross value added - NACE Rev. 2: J - volumes,related_to,0.937950,"[""occ_423ab5dd4e8d9dbb7aea"", ""occ_fd2a7a5798c2ad8aab89""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.976625, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.777778}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_3febc1e9521f7c99bf6f,term_120e767f33d49114efb9,Gross value added - NACE Rev. 2: J - current prices,term_45e5d4ea6d3cfabd1255,Gross value added - NACE Rev. 2: O-Q - current prices,related_to,0.937630,"[""occ_cb457eebbd911c693afe"", ""occ_f900942e94cef6d0f0fb""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.976358, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.727273}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_3d7f21ec6d5685833df1,term_8cddf207ccad91a60de9,Gross value added - NACE Rev. 2: C - current prices,term_45e5d4ea6d3cfabd1255,Gross value added - NACE Rev. 2: O-Q - current prices,related_to,0.937424,"[""occ_cb457eebbd911c693afe"", ""occ_d9af56e7807b701289d1""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.976187, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.727273}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_5739ffdbf4c98dc81209,term_7f231a9b7cbedf86f343,Gross value added - NACE Rev. 2: L - current prices,term_45e5d4ea6d3cfabd1255,Gross value added - NACE Rev. 2: O-Q - current prices,related_to,0.937207,"[""occ_cb457eebbd911c693afe"", ""occ_e20f0480fcbf2465054c""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.976006, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.727273}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_14ad51539e4d1162f304,term_e627eb2b6cef0cf15347,Gross value added - NACE Rev. 2: B-E - current prices,term_6b43fbddf11cc0d86ec7,Gross value added - NACE Rev. 2: M_N - current prices,related_to,0.936654,"[""occ_7304097929e43d5dfb37"", ""occ_d206a9b91c5018cccb87""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.975545, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.666667}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_eeec7cd88bac8d6599c2,term_f9712695721fec6734d3,Gross value added - NACE Rev. 2: J - volumes,term_8d79218e8970c663f49b,Gross value added - NACE Rev. 2: L - volumes,related_to,0.936355,"[""occ_328b6228bc8a75e8b4b9"", ""occ_fd2a7a5798c2ad8aab89""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.975296, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.777778}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_26e71ad0a30ba10adf17,term_e627eb2b6cef0cf15347,Gross value added - NACE Rev. 2: B-E - current prices,term_120e767f33d49114efb9,Gross value added - NACE Rev. 2: J - current prices,related_to,0.935835,"[""occ_7304097929e43d5dfb37"", ""occ_f900942e94cef6d0f0fb""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.974862, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.727273}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_3266bb4013ba19d5cfc4,term_8d79218e8970c663f49b,Gross value added - NACE Rev. 2: L - volumes,term_6a4b2ac0d5193a131324,Gross value added - NACE Rev. 2: M_N - volumes,related_to,0.935053,"[""occ_328b6228bc8a75e8b4b9"", ""occ_47412dda18d8326bd892""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.974211, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.7}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_bbab74173e5fb3e16959,term_6b43fbddf11cc0d86ec7,Gross value added - NACE Rev. 2: M_N - current prices,term_45e5d4ea6d3cfabd1255,Gross value added - NACE Rev. 2: O-Q - current prices,related_to,0.934488,"[""occ_cb457eebbd911c693afe"", ""occ_d206a9b91c5018cccb87""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.97374, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.666667}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_d8118705753d516337aa,term_b02ae624a643197bb062,Gross value added - NACE Rev. 2: B-E - volumes,term_43b3e9a5541c91515e12,Gross value added - NACE Rev. 2: C - volumes,related_to,0.933753,"[""occ_423ab5dd4e8d9dbb7aea"", ""occ_48f2767cd94062dcb64b""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.973128, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.7}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_087a987c8f1f67119519,term_b02ae624a643197bb062,Gross value added - NACE Rev. 2: B-E - volumes,term_bca0c3b7c19ae02f790f,Gross value added - NACE Rev. 2: F - volumes,related_to,0.931934,"[""occ_48f2767cd94062dcb64b"", ""occ_9d21b61dcdc11cd5bff4""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.971612, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.7}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_669cef8f57e40d1df343,term_bca0c3b7c19ae02f790f,Gross value added - NACE Rev. 2: F - volumes,term_904fdc9e8e59b47185f3,Gross value added - NACE Rev. 2: O-Q - volumes,related_to,0.931426,"[""occ_45c8bfd8afad73044c69"", ""occ_9d21b61dcdc11cd5bff4""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.971188, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.7}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_55869fdae59272d8df4a,term_6a4b2ac0d5193a131324,Gross value added - NACE Rev. 2: M_N - volumes,term_904fdc9e8e59b47185f3,Gross value added - NACE Rev. 2: O-Q - volumes,related_to,0.931417,"[""occ_45c8bfd8afad73044c69"", ""occ_47412dda18d8326bd892""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.971181, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.636364}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_929e664a3b8c27070528,term_e627eb2b6cef0cf15347,Gross value added - NACE Rev. 2: B-E - current prices,term_45e5d4ea6d3cfabd1255,Gross value added - NACE Rev. 2: O-Q - current prices,related_to,0.931385,"[""occ_7304097929e43d5dfb37"", ""occ_cb457eebbd911c693afe""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.971154, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.666667}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_539583c57fba64710b35,term_b02ae624a643197bb062,Gross value added - NACE Rev. 2: B-E - volumes,term_6a4b2ac0d5193a131324,Gross value added - NACE Rev. 2: M_N - volumes,related_to,0.931312,"[""occ_47412dda18d8326bd892"", ""occ_48f2767cd94062dcb64b""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.971094, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.636364}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_fd4dc787d1b4fcb74a5b,term_f9712695721fec6734d3,Gross value added - NACE Rev. 2: J - volumes,term_904fdc9e8e59b47185f3,Gross value added - NACE Rev. 2: O-Q - volumes,related_to,0.930821,"[""occ_45c8bfd8afad73044c69"", ""occ_fd2a7a5798c2ad8aab89""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.970684, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.7}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_d3a9bc17e2b858b23420,term_4a7ca24e09ef4e55de2f,Gross value added - NACE Rev. 2: G-I - volumes,term_6a4b2ac0d5193a131324,Gross value added - NACE Rev. 2: M_N - volumes,related_to,0.930541,"[""occ_10d3dc4422b74418a121"", ""occ_47412dda18d8326bd892""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.970451, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.636364}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_55123bc130a08fd9eb4e,term_43b3e9a5541c91515e12,Gross value added - NACE Rev. 2: C - volumes,term_904fdc9e8e59b47185f3,Gross value added - NACE Rev. 2: O-Q - volumes,related_to,0.930083,"[""occ_423ab5dd4e8d9dbb7aea"", ""occ_45c8bfd8afad73044c69""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.970069, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.7}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_2a972a3b1b5ef5247e1d,term_aa9dcb3b1b5e3cb0f0d6,Gross value added - NACE Rev. 2: F - current prices,term_ce2cdc7f7b3486cc640f,Gross value added - NACE Rev. 2: G-I - current prices,related_to,0.929163,"[""occ_b1117268c547fdb1d746"", ""occ_b7f70c260fb0f39b9c30""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.969303, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.727273}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
relation_e4b96de291fffb91b174,term_43b3e9a5541c91515e12,Gross value added - NACE Rev. 2: C - volumes,term_8d79218e8970c663f49b,Gross value added - NACE Rev. 2: L - volumes,related_to,0.928775,"[""occ_328b6228bc8a75e8b4b9"", ""occ_423ab5dd4e8d9dbb7aea""]","{""domain_signal"": ""same_domain"", ""embedding_similarity"": 0.96898, ""source_domain"": ""economy and finance"", ""target_domain"": ""economy and finance"", ""token_jaccard"": 0.777778}","[""embedding_similarity"", ""domains""]",run_91d95068b729f15ae653
